word_original,synset
angle,bn:00004117n
ant,bn:00004458n
apple,bn:00005054n
arch,bn:00005387n
arm,bn:00005704n
army,bn:00005732n
baby,bn:00007630n
bag,bn:00007925n
ball,bn:00008804n
band,bn:00008287n
basin,bn:00071766n
basket,bn:00008872n
bath,bn:00008995n
bed,bn:00009472n
bee,bn:00009524n
bell,bn:00009728n
berry,bn:00010066n
bird,bn:00010605n
blade,bn:00011081n
board,bn:00021015n
boat,bn:00011674n
bone,bn:00011999n
book,bn:00012059n
boot,bn:00012166n
bottle,bn:00012339n
box,bn:00012524n
boy,bn:00012569n
brain,bn:00012681n
brake,bn:00012710n
branch,bn:00029676n
brick,bn:00013047n
bridge,bn:00013077n
brush,bn:00013489n
bucket,bn:00013590n
bulb,bn:00013745n
button,bn:00014305n
cake,bn:00014609n
camera,bn:00015008n
card,bn:00015915n
cart,bn:00016292n
carriage,bn:00016241n
cat,bn:00016606n
chain,bn:00017487n
cheese,bn:00018038n
chest,bn:00018208n
chin,bn:00018426n
church,bn:00018995n
circle,bn:00019169n
clock,bn:00019887n
cloud,bn:00020002n
coat,bn:00047823n
collar,bn:00005136n
comb,bn:00020849n
cord,bn:00022592n
cow,bn:00012273n
cup,bn:00024410n
curtain,bn:00024534n
cushion,bn:00024564n
dog,bn:00015267n
door,bn:00028247n
drain,bn:00034158n
drawer,bn:00028639n
dress,bn:00006125n
drop,bn:00028709n
ear,bn:00029372n
egg,bn:00029914n
engine,bn:00030850n
eye,bn:00032512n
face,bn:00032600n
farm,bn:00033676n
feather,bn:00033865n
finger,bn:00034565n
fish,bn:00034816n
flag,bn:00034960n
floor,bn:00079476n
fly,bn:00035494n
foot,bn:00035679n
fork,bn:00035902n
fowl,bn:00028155n
frame,bn:00003882n
garden,bn:00037300n
girl,bn:00034453n
glove,bn:00040736n
goat,bn:00015720n
gun,bn:00042221n
hair,bn:00042526n
hammer,bn:00042730n
hand,bn:00042759n
hat,bn:00017718n
head,bn:00012681n
heart,bn:00043383n
hook,bn:00078068n
horn,bn:00022750n
horse,bn:00031345n
hospital,bn:00044896n
house,bn:00044994n
island,bn:00047612n
jewel,bn:00037606n
kettle,bn:00011829n
key,bn:00048985n
knee,bn:00006140n
knife,bn:00049322n
knot,bn:00049367n
leaf,bn:00035596n
leg,bn:00050541n
library,bn:00050967n
line,bn:00076373n
lip,bn:00051440n
lock,bn:00024493n
map,bn:00036821n
match,bn:00036522n
monkey,bn:00055685n
moon,bn:00055813n
mouth,bn:00056136n
muscle,bn:00056377n
nail,bn:00056727n
neck,bn:00017395n
needle,bn:00057168n
nerve,bn:00057322n
net,bn:00024712n
nose,bn:00058117n
nut,bn:00058343n
office,bn:00001961n
orange,bn:00059250n
oven,bn:00059829n
parcel,bn:00060109n
pen,bn:00061314n
pencil,bn:00061334n
picture,bn:00034471n
pig,bn:00042006n
pin,bn:00050541n
pipe,bn:00062568n
plane,bn:00001697n
plate,bn:00050990n
plough,bn:00063057n
pocket,bn:00063155n
pot,bn:00015106n
potato,bn:00047481n
prison,bn:00064468n
pump,bn:00043383n
rail,bn:00077838n
rat,bn:00056119n
receipt,bn:00000746n
ring,bn:00008287n
rod,bn:00022813n
roof,bn:00068220n
root,bn:00042526n
sail,bn:00068849n
school,bn:00069619n
scissors,bn:00060209n
screw,bn:00069863n
seed,bn:00070253n
sheep,bn:00070967n
shelf,bn:00070999n
ship,bn:00071103n
shirt,bn:00071142n
shoe,bn:00071172n
skin,bn:00024643n
skirt,bn:00072004n
snake,bn:00059150n
sock,bn:00072576n
spade,bn:00022443n
sponge,bn:00060631n
spoon,bn:00073547n
spring,bn:00036077n
square,bn:00036107n
stamp,bn:00063768n
star,bn:00073964n
station,bn:00074049n
stem,bn:00073868n
stick,bn:00019079n
stocking,bn:00074376n
stomach,bn:00012886n
store,bn:00021483n
street,bn:00074595n
sun,bn:00028190n
table,bn:00075813n
tail,bn:00075904n
thread,bn:00077028n
throat,bn:00061897n
thumb,bn:00063376n
ticket,bn:00033665n
toe,bn:00077465n
tongue,bn:00071172n
tooth,bn:00077593n
town,bn:00077773n
train,bn:00066028n
tray,bn:00078102n
tree,bn:00078131n
trousers,bn:00060423n
umbrella,bn:00078920n
wall,bn:00080386n
watch,bn:00077172n
wheel,bn:00010248n
whip,bn:00081007n
whistle,bn:00081044n
window,bn:00081285n
wing,bn:00081336n
wire,bn:00021675n
worm,bn:00081635n
