fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
"['livre', 'papier']","['Buch', 'totes Holz', 'Papier', 'Totholz']","['книга', 'бумага', 'бума́га']","['book', 'paper']","['書', '书籍', '書籍', '书', '圖書', '图书', '纸', '紙']","['libro', 'papel']","['本', '紙']","['책', '종이']","['raamat', 'paber']","['kirja', 'paperi']","['boek', 'boeken', 'album', 'boekwerk', 'boekje', 'papier']","['किताब', 'पुस्तक', 'काग़ज़', 'कागद', 'वरक', 'किरतास', 'पन्ना', 'पेपर', 'कागज']",book,"['libro', 'carta']"
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']",cloud,"['nube', 'nuvola', 'nembo']"
"['sac', 'sac plastique', 'sac de caisse', 'sac en papier', 'poche', 'poche pantalon', 'poche de pantalon']","['Tasche', 'Sack', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte', 'Hosentasche']","['сумка', 'паке́т', 'кулёк', 'Бумажный пакет', 'су́мка', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к', 'карман', 'карман брюк', 'карма́н', 'карма́шек']","['sack', 'bag', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag', 'pocket', 'trouser pocket']","['袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋', '口袋', '荷包']","['bolso', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra', 'bolsillo']","['袋', '鞄', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋', 'ポケット', '懐中']","['가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방', '호주머니', '주머니', '포켓']","['Kott', 'Paberkott', 'kott', 'kilekott', 'tasku', 'Tasku']","['laukku', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki', 'tasku']","['tas', 'zak', 'papieren tas', 'buil', 'broekzak']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले', 'जेब', 'चेद']",bag,"['sacchetto', 'sacco', 'borsa', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta', 'tasca dei calzoni', 'tasca dei pantaloni', 'tasca']"
"['territoire', 'terre ferme', 'plancher des vaches', 'terre', 'sol', 'plancher', 'bas', 'fond']","['Boden', 'Land', 'Festland', 'Grund', 'Erdboden', 'Erde', 'Länder', 'fester Boden', 'Fußboden', 'Blumenerde']","['земля', 'суша', 'су́ша', 'земля́', 'зе́мли', 'грунт', 'под', 'поверх', 'пол']","['land', 'ground', 'terra firma', 'earth', 'solid ground', 'dry land', 'land mass', 'floor', 'flooring', 'soil', 'dirt', 'bottom', 'underside', 'undersurface']","['陸地', '地', '土地', '陆地', '地面', '地板', '楼板', '樓板', '泥土', '土壤', '土', '壤', '底面', '底', '下侧', '下面']","['tierra', 'territorio', 'terreno', 'tierra firme', 'suelo', 'piso', 'solería', 'parte inferior']","['地', '地面', '土地', '大地', '土', '陸地', '床']","['땅', '육지', '륙지', '대지', '뭍', '토지', '바닥', '마루']","['maa', 'maismaa', 'põrand', 'Põrand']","['maa', 'maanpinta', 'kuiva maa', 'lattia', 'sora', 'irtomaa', 'multa', 'alapää', 'alaosa', 'alalaita']","['land', 'aarde', 'droge land', 'vaste grond', 'grond', 'bodem', 'vasteland', 'vloer', 'teelaarde', 'omgeving', 'onderzijde', 'onderkant', 'onderzij']","['सरजमीन', 'धरती', 'भूतल', 'ज़मीन', 'भूमि', 'फ़र्श', 'फर्श']",soil,"['territorio', 'terra', 'terraferma', 'superficie', 'suolo', 'terra ferma', 'continente', 'pavimento', 'tavolato', 'piantito', 'piancito', 'impiantito', 'solaio', 'terriccio', 'terreno', 'fondo', 'di sotto', 'disotto', 'basso']"
"['textile', 'étoffe', 'tissu']","['Tuch', 'Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']","['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']","['fabric', 'cloth', 'textile', 'material']","['紡織', '布料', '纺织', '织物', '台布', '布', '衣料', '纺织品', '織物']","['textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']","['布', '織物']","['직물', '옷감']","['tekstiil', 'riie', 'kangas']","['tekstiili', 'kangas', 'kudos', 'materiaali']","['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']","['कपड़ा', 'वस्त्र']",cloth,"['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia']","['Herz', 'Philia', 'Affektion', 'Zuneigung']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid']","['हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'दिल', 'क़ल्ब']",heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore']"
"['main', 'patte']",['Hand'],"['рука', 'кисть']","['manus', 'mitt', 'paw', 'Manus']","['手', '前足', '前肢骨']","['mano', 'palma', 'zarpa', 'manus', 'pata']","['手', 'マヌス']",['손'],['labakäsi'],"['käsi', 'jalka', 'käpälä', 'manus']","['klauw', 'poot', 'klauwen', 'klavier', 'fik', 'vlerken', 'kluif', 'tengels', 'knijper', 'klavieren', 'fikken']",['हाथ'],hand,['mano']
"['jour', 'jour solaire']","['Tag', 'Solartag', 'Sonnentag']","['со́лнечные су́тки', 'сутки']","['twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day', 'day']","['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['día', 'día solar']","['日', '太陽日']","['날', '일']",['ööpäev'],"['vuorokausi', 'aurinkovuorokausi', 'päivä']","['dag', 'zonnedag']",['दिन'],day,"['giorno', ""ventiquattr'ore""]"
['étoile'],"['Stern', 'Sonne', 'Fixstern']","['звезда', 'звезда́']",['star'],"['星', '恒星', '恆星', '母恒星', '星章', '星标', '星形', '星形物']","['estrella', 'astro']","['恒星', '星', '母恒星']","['별', '항성', '외계 행성 주인별']","['täht', 'Täht']","['tähti', 'kiintotähti']","['zon', 'ster', 'sterretje']",['तारा'],star,"['stella', 'astro', 'sole']"
"['plumage', 'barbule', 'plume', 'plumée', 'pennage', 'ressort', 'stylographe', 'stylo à encre', 'stylo']","['Feder', 'Strahlen', 'Gefieder', 'Federschmuck', 'Federkleid', 'Vogelgefieder', 'Sprungfeder', 'Füller', 'Schreibstift']","['перо', 'оперение', 'Оперение', 'опере́ние', 'пружина', 'пружи́на', 'рессо́ра', 'ручка', 'авторучка']","['plume', 'feathers', 'feather', 'plumage', 'barbule', 'spring', 'pen']","['羽毛', '鸟类羽毛', '羽', '换羽', '彈簧', '弹簧', '發條', '发条', '筆', '钢笔']","['pluma', 'plumaje', 'barbillas', 'bárbulas', 'resorte', 'muelle', 'boli', 'bolígrafo']","['羽根', '羽毛', 'スプリング', 'バネ', '発条', 'ばね', 'ボールペン', 'ペン']","['깃', '깃털', '출렁쇠', '용수철', '펜']","['sulg', 'sulestik', 'Sulestik', 'vedru', 'Vedru', 'sulepea']","['höyhenet', 'höyhen', 'höyhenpuku', 'höyhenpeite', 'sulka', 'jousi', 'vieteri', 'joustin', 'kynä', 'mustekynä']","['pluim', 'veer', 'pluimage', 'gevederte', 'verenkleed', 'al gezien al gedaan', 'veder', 'pen']","['पंख', 'पर', 'कमानी', 'क़लम', 'पेन', 'लेखनी']",spring,"['barbula', 'piumaggio', 'piuma', 'penna', 'piume', 'molla']"
