fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Winkel', 'Supplementwinkel']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
"['papier', 'feuille', 'arc', 'arc à flèches']","['Bogen', 'totes Holz', 'Papier', 'Totholz', 'Blatt']","['бумага', 'бума́га', 'лист', 'лук']","['paper', 'sheet', 'sheet of paper', 'piece of paper', 'bow']","['纸', '紙', '纸张', '弓']","['papel', 'hoja', 'hoja de papel', 'cuartilla', 'folio', 'pliego', 'arco']","['紙', '弓']","['종이', '활', '궁']","['paber', 'vibu']","['paperi', 'arkki', 'paperinpala', 'paperiarkki', 'jousi', 'jousipyssy']","['papier', 'blad', 'velletje', 'blaadje', 'vel', 'boog']","['काग़ज़', 'कागद', 'वरक', 'किरतास', 'पन्ना', 'पेपर', 'कागज', 'कमान', 'धनुष']","['carta', 'foglio', 'arco']",arch
"['arme', 'arme à feu', 'arme de projectile', 'pistolet']","['Waffe', 'Arm', 'Schusswaffe', 'Feuerwaffe']","['оружие', 'ору́жие', 'метательное оружие', 'стреляющее оружие', 'огнестрельное оружие']","['weapon', 'weapon system', 'arm', 'gun', 'firearm', 'fire arm', 'projectile weapon']","['兵器', '武器', '武装', '槍', '銃', '枪', '铳', '枪械', '手枪', '枪炮']","['arma', 'arma de fuego', 'arma de proyectil', 'cañón', 'obús', 'escopeta', 'pistola']","['武器', '兵器', '銃', '火器']","['무기', '병기', '전쟁무기', '총', '화기']","['relv', 'Relv', 'tulirelv']","['ase', 'astalo', 'ampuma-ase', 'tuliase', 'tykki', 'pistooli', 'pyssy']","['wapen', 'gevechtswapen', 'strijdmiddel', 'geweer', 'vuurwapen', 'projectielwapen', 'pistool', 'kanon', 'stuk']","['हथियार', 'शस्त्र', 'आयुध', 'अग्निशस्त्र']","['arma', 'ordigno', 'arma da fuoco', 'arma balistica', 'pistola']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['軍隊', '軍事', '軍']","['군사', '군대']","['relvajõud', 'sõjavägi']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'lattante', 'poppante']",baby
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['doline', 'gouffre', 'lavabo', 'évier']","['Waschbecken', 'Karsttrichter', 'Doline', 'Schluckloch', 'Senkloch', 'Flussschwinde', 'Erdfall', 'Schwalgloch', 'Schwinde', 'Sinkloch', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['карстовая воронка', 'дья́волова дыра́', 'ка́рстовая воро́нка', 'таз', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['swallet', 'doline', 'sinkhole', 'shake hole', 'cenote', 'sink hole', 'swallow hole', 'shakehole', 'sink', 'basin', 'kitchen sink']","['地陷', '滲穴', '水槽', '盥洗盆', '洗手盆']","['dolina', 'cenote', 'torca', 'lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['シンクホール', '洗面器', '流し台', 'シンク', 'キッチンシンク', '洗面台', '流し']","['싱크홀', '돌리네', '땅꺼짐', '개수대', '싱크', '세면기', '싱크대']","['kurisu', 'kraanikauss', 'bassein', 'Bassein', 'valamu']","['karstivajoama', 'doliini', 'vajoama', 'suppa', 'sortumakaivo', 'karstipainauma', 'amme', 'pesuallas', 'lavuaari', 'Lavuaari', 'viemäriallas']","['doline', 'zinkgat', 'bassin', 'wastafel', 'bekken', 'gootsteen', 'afwasbak']","['घोल रन्ध्र', 'चिलमची']","['dolina', 'dolina carsica', 'pulo', 'inghiottitoio', 'lavello', 'lavabo', 'lavandino', 'bacino', 'acquaio', 'toilette']",basin
"['bains publics', 'salle de bain', 'salle de bains', 'Modèle:Autres langues', 'bain', 'toilette']","['Badestube', 'Badeanstalt', 'Badehaus', 'Badezimmer', 'Bad', 'Vorlage:Andere Sprachen']","['общественная баня', 'ванная', 'ба́ня', 'ванная комната', 'ва́нная']","['public bath', 'public bathing', 'bath', 'restroom', 'bathroom']","['公共浴場', '公眾浴場', '浴室']","['baño público', 'baños públicos', 'baño', 'cuarto de baño', 'lavabo']","['公衆浴場', 'バスルーム', '浴室', '風呂場', '浴場']","['목욕탕', '화장실', '목욕실', '욕실']","['avalik ujula', 'vannituba']","['yleinen kylpylä', 'yleinen sauna', 'kylpyhuone', 'kylpylä']","['openbaar bad', 'badhuis', 'wasgelegenheid', 'badkamer', 'badkuip', 'bad']","['बाथरूम', 'स्नानागार', 'गुसलख़ाना', 'ग़ुसलख़ाना', 'स्नानघर']","['bagno pubblico', 'bagno', 'stanza da bagno', 'ritirata', 'toilette']",bath
"['lit', 'couche']",['Bett'],"['кровать', 'постель', 'ко́йка', 'посте́ль', 'крова́ть']",['bed'],"['床', '睡铺', '卧榻', '床鋪', '臥榻', '睡鋪', '床铺']","['cama', 'piltra', 'catre', 'sobre', 'lecho']","['布団', 'ベッド', '臥榻', '寝床', '寝台']","['침대', '잠자리']",['voodi'],"['vuode', 'sänky', 'peti']","['bed', 'legerstede', 'sponde', 'bedstede', 'ledikant', 'nest']","['बिस्तर', 'पलंग', 'बिछोना', 'बिछौना', 'शय्या']","['letto', 'giaciglio']",bed
