fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
['livre'],['Buch'],['книга'],['book'],"['書', '书籍', '書籍', '书', '圖書', '图书']",['libro'],['本'],['책'],['raamat'],['kirja'],"['boek', 'boeken', 'album', 'boekwerk', 'boekje']","['किताब', 'पुस्तक']",book,['libro']
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']",cloud,"['nube', 'nuvola', 'nembo']"
"['sac à main', 'porte-monnaie', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier', 'valise', 'valoche']","['Handtasche', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte', 'Reisekoffer', 'Koffer', 'Reisetasche']","['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к', 'чемодан', 'чемода́н']","['bag', 'purse', 'handbag', 'pocketbook', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag', 'case', 'suitcase', 'traveling bag', 'travelling bag', 'grip']","['皮包', '手袋', '手提包', '钱包', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋', '手提箱', '行李箱', '皮箱', '衣箱']","['bolso', 'cartera', 'bulto', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra', 'valija', 'maleta', 'petaca', 'bolsa de viaje', 'mala']","['ハンドバッグ', '鞄', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋', 'スーツケース', 'トランク']","['손가방', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방', '여행 가방', '트렁크', '슈트케이스']","['käekott', 'Kott', 'Paberkott', 'kott', 'kilekott', 'kohver']","['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki', 'matkalaukku', 'matkakassi']","['tas', 'handtas', 'Handtas', 'tasje', 'zak', 'papieren tas', 'buil', 'koffer', 'valies']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले', 'सूटकेस']",bag,"['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta', 'valiggia', 'valigia', 'bagaglio']"
['montagne'],['Berg'],['гора'],"['mountain', 'mount']","['山', '山脉', '高山', '大山']","['montaña', 'monte']","['山岳', '山']",['산'],['mägi'],['vuori'],['berg'],"['पहाड़', 'पर्वत']",mountain,"['montagna', 'monte']"
"['textile', 'étoffe', 'tissu']","['Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']","['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']","['cloth', 'fabric', 'textile', 'material']","['紡織', '布料', '纺织', '织物', '台布', '布', '衣料', '纺织品', '織物']","['textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']","['布', '織物']","['직물', '옷감']","['tekstiil', 'riie', 'kangas']","['tekstiili', 'kangas', 'kudos', 'materiaali']","['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']","['कपड़ा', 'वस्त्र']",cloth,"['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia', 'centre']","['Herz', 'Philia', 'Affektion', 'Zuneigung']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio', 'eye', 'center', 'centre', 'middle']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感', '中间', '中心', '中心点', '中央']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño', 'centro', 'ojo', 'medio']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous', 'keskusta', 'keskus', 'silmä', 'keskipiste']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid', 'kern']","['हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'दिल', 'क़ल्ब']",heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore', 'centro', 'mezzo']"
"['jour', 'jour solaire']","['Tag', 'Solartag', 'Sonnentag']","['со́лнечные су́тки', 'сутки']","['day', 'twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day']","['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['día', 'día solar']","['日', '太陽日']","['날', '일']",['ööpäev'],"['vuorokausi', 'aurinkovuorokausi', 'päivä']","['dag', 'zonnedag']",['दिन'],day,"['giorno', ""ventiquattr'ore""]"
"['étoile', 'astérisque', 'superstar', 'spécialiste', 'vedette', 'connaisseur', 'as', 'machine', 'expert', 'champion', 'Maven', 'virtuose', 'génie', 'bête', 'effet superstar', 'sommité']","['Stern', 'Sonne', 'Fixstern', 'Sternchen', 'Superstar', 'Expertin', 'Promi', 'Kennerin', 'Adept', 'Prominenter', 'Prominente', 'Experte', 'Kenner', 'Maven', 'Wunder-', 'Meister']","['звезда', 'звезда́', 'звёздочка', 'специали́стка', 'ма́стер', 'до́ка', 'адепт', 'уме́лица', 'экспе́рт', 'знато́к', 'суперзвезда́', 'уме́лец', 'специали́ст', 'суперзвезда', 'Maven', 'спец', 'Суперзвезда']","['star', 'asterisk', 'superstar', 'maven', 'intenditore', 'wiz', 'champion', 'whiz', 'mavin', 'hotshot', 'wizard', 'adept', 'genius', 'ace', 'virtuoso', 'sensation', 'whizz', 'Maven', 'principal', 'lead']","['星', '恒星', '恆星', '母恒星', '星號', '星号', '星章', '星标', '星形', '星形物', '超级明星', '超級明星', '专家', '超天才', '好手', '行家', '高手', '天才人物', '天才', '精明的人', '能手', '專家', 'Maven', '熟練的人', '明星', '熟练的人', '巨星']","['estrella', 'astro', 'asterisco', 'superestrella', 'entendida', 'entendido', 'Adepto', 'adepto', 'Maven', 'experta', 'experto', 'diestro', 'crack', 'asistente', 'virtuoso', 'ducho', 'genio', 'maven', 'mavin', 'as', 'wiz', 'hacha', 'artista', 'protagonista']","['恒星', '星', '母恒星', 'アスタリスク', '星印', 'スーパースター', '著名人', '花形', '有名人', '大物', 'アデプト', 'メイヴン', '主演', '主役']","['별', '항성', '외계 행성 주인별', '별표', '슈퍼스타', '유명인', '스타', '메이븐', '마벤']","['täht', 'tärn', '*', 'Täht', 'superstaar', 'sepp', 'talent', 'adept', 'staar', 'Adept', 'kuulsus', 'filmitäht', 'lavatäht']","['tähti', 'kiintotähti', 'asteriski', 'tähtimerkki', '-niekka', 'supertähti', 'ekspertti', 'tuntija', 'asiantuntija', 'taituri', 'taitaja', 'Adepti', 'ässä', 'taitoniekka', 'adepti', 'huippu-', 'mestari', 'nero', 'virtuoosi', 'velho', 'huippu', 'pääosan esittäjä']","['zon', 'ster', 'sterretje', 'asterisk', 'vedette', 'superster', 'expert', 'zelf-benoemde expert', 'adept', 'Maven', 'deskundige', 'zelf-benoemde specialist', 'kanjer', 'hoogvlieger', 'kei', 'topper', 'genie', 'aas', 'kraan', 'bollebof', 'licht', 'meesteres', 'knapperd', 'grootmeester', 'meester', 'crack', 'coryfee', 'virtuoos', 'meesterbrein', 'specialist', 'bolleboos', 'raspaardje', 'uitblinker', 'duivelskunstenaar', 'hoofdrolspeler']","['तारा', '*', 'सुपरसितारा', 'सितारा', 'प्रवीण', 'स्टार', 'सुपरस्टार']",star,"['stella', 'astro', 'sole', 'asterisco', 'stelletta', 'superstar', 'Maven', 'diva', 'intenditore', 'adepto', 'primadonna', 'cannone', 'cima', 'demonio', 'mostro', 'mago', 'fuoriclasse', 'asso', 'fenomeno', 'divo', 'celebrità', 'vedette']"
"['source', 'saison', 'printemps', 'ressort']","['Quelle', 'Jahreszeit', 'Frühjahr', 'Frühling', 'Lenz', 'Feder', 'Sprungfeder']","['родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник', 'время года', 'времена года', 'весна', 'весна́', 'весеннее вре́мя года', 'весе́нний сезо́н', 'пружина', 'пружи́на', 'рессо́ра']","['spring', 'outpouring', 'outflow', 'fountain', 'natural spring', 'season', 'time of year', 'springtime']","['源泉', '泉', '泉水', '喷泉', '季节', '季節', '季', '春天', '春', '春季', '彈簧', '弹簧', '發條', '发条']","['manantial', 'fuente', 'vertiente', 'surtidor', 'brollador', 'fuente natural', 'emanación', 'estación', 'estación del año', 'estaciones del año', 'primavera', 'resorte', 'muelle']","['泉', '湧水', '温泉', '季節', '春', 'スプリング', 'バネ', '発条', 'ばね']","['샘터', '샘', '계절', '봄', '출렁쇠', '용수철']","['allikas', 'läte', 'veesilm', 'sesoon', 'aastaaeg', 'hooaeg', 'aastaajad', 'kevad', 'vedru', 'Vedru']","['lähde', 'ulosvirtaus', 'purkaus', 'luonnonlähde', 'vuodenaika', 'kausi', 'kevät', 'keväin', 'jousi', 'vieteri', 'joustin']","['bron', 'wel', 'fontein', 'seizoen', 'jaargetijde', 'jaargetij', 'voorjaar', 'lente', 'lentetijd', 'veer']","['पानी का चश्मा', 'चश्मा', 'ऋतु', 'मौसम', 'बसंत', 'बहार', 'वसंत', 'वसन्त ऋतु', 'कमानी']",spring,"['sorgente', 'fonte', 'polla', 'scaturigine', 'stagione', 'primavera', 'vere', 'molla']"
"['lune', 'Lune']","['Mond', 'Frau Luna', 'Luna', 'Erdmond']","['Луна', 'месяц']","['moon', 'Luna']","['月球', '月', '月亮']","['Luna', 'luna']",['月'],['달'],['Kuu'],"['Kuu', 'kuu']","['maan', 'Maan']",['चन्द्रमा'],moon,"['luna', 'Luna']"
