fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Winkel', 'Supplementwinkel']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
['arc'],['Bogen'],"['а́рка', 'арка', 'свод']",['arch'],"['拱門', '拱', '拱券', '拱门', '拱形结构', '拱形物']",['arco'],['アーチ'],['아치'],"['Kaar', 'kaar']","['holvikaari', 'Kaari', 'kaari', 'holvi']",['boog'],['चाप'],"['arco', 'fornice', 'arcata']",arch
"['arme', 'corne']","['Waffe', 'Arm', 'Horn']","['оружие', 'ору́жие', 'рог']","['weapon', 'weapon system', 'arm', 'horn']","['兵器', '武器', '武装', '角', '洞角', '犄角']","['arma', 'cuerno', 'Cuerno']","['武器', '兵器', '角', '洞角']","['무기', '병기', '전쟁무기', '뿔']","['relv', 'Relv', 'Sarved', 'sarved']","['ase', 'astalo', 'sarvi']","['wapen', 'gevechtswapen', 'strijdmiddel', 'hoorn', 'Hoorn', 'hoorntje', 'horen']","['हथियार', 'शस्त्र', 'आयुध', 'सींग']","['arma', 'ordigno', 'corno']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['軍隊', '軍事', '軍']","['군사', '군대']","['relvajõud', 'sõjavägi']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['baby', 'infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'lattante', 'poppante']",baby
"['anneau', 'bague', 'bande criminelle', 'bande', 'gang']","['Fingerring', 'Fingerreif', 'Reif', 'Reifen', 'Bande', 'Gang']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́', 'банда', 'ша́йка', 'ба́нда']","['ring', 'band', 'gang', 'pack', 'mob', 'boxing ring']","['指環', '戒指', '指环', '幫派', '匪幫', '黑幫', '匪帮', '黑帮', '拳击场']","['anillo', 'alianza', 'sortija', 'cuadrilla', 'pandilla', 'banda', 'cuadrilátero']","['指輪', 'ギャング', 'ストリートギャング', '暴力団']","['가락지', '반지', '갱단', '패거리', '조폭', '폭력단', '폭력 조직', '갱']","['sõrmus', 'bande', 'Jõuk']","['sormus', 'jengi', 'katujengi', 'rinki', 'sakki', 'joukkio', 'lauma', 'joukko', 'kehä']","['bende', 'jeugdbende', 'gang']","['अँगूठी', 'छल्ला', 'अंगूठी', 'गिरोह']","['anello', 'cricca', 'ganga', 'banda', 'torma', 'gang', 'clan', 'congrega', 'combriccola', 'ghenga', 'genia', 'masnada', 'quadrato']",band
"['doline', 'gouffre', 'lavabo', 'évier']","['Karsttrichter', 'Doline', 'Schluckloch', 'Senkloch', 'Flussschwinde', 'Erdfall', 'Schwalgloch', 'Schwinde', 'Sinkloch', 'Waschbecken', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['карстовая воронка', 'дья́волова дыра́', 'ка́рстовая воро́нка', 'таз', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['sink', 'swallet', 'doline', 'sinkhole', 'shake hole', 'cenote', 'sink hole', 'swallow hole', 'shakehole', 'basin', 'kitchen sink']","['地陷', '滲穴', '水槽', '盥洗盆', '洗手盆']","['dolina', 'cenote', 'torca', 'lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['シンクホール', '洗面器', '流し台', 'シンク', 'キッチンシンク', '洗面台', '流し']","['싱크홀', '돌리네', '땅꺼짐', '개수대', '싱크', '세면기', '싱크대']","['kurisu', 'kraanikauss', 'bassein', 'Bassein', 'valamu']","['karstivajoama', 'doliini', 'vajoama', 'suppa', 'sortumakaivo', 'karstipainauma', 'amme', 'pesuallas', 'lavuaari', 'Lavuaari', 'viemäriallas']","['doline', 'zinkgat', 'bassin', 'wastafel', 'bekken', 'gootsteen', 'afwasbak']","['घोल रन्ध्र', 'चिलमची']","['dolina', 'dolina carsica', 'pulo', 'inghiottitoio', 'lavello', 'lavabo', 'lavandino', 'bacino', 'acquaio', 'toilette']",basin
"['salle de bain', 'salle de bains', 'Modèle:Autres langues', 'bain', 'toilette', 'baignoire']","['Badestube', 'Badezimmer', 'Bad', 'Vorlage:Andere Sprachen']","['ванная', 'ба́ня', 'ванная комната', 'ва́нная']","['bath', 'restroom', 'bathroom']","['浴室', '电解槽']","['baño', 'cuarto de baño', 'lavabo']","['バスルーム', '浴室', '風呂場', '浴場']","['화장실', '목욕실', '욕실']",['vannituba'],"['kylpyhuone', 'kylpylä', 'amme', 'kylpyamme']","['wasgelegenheid', 'badkamer', 'badkuip', 'bad']","['बाथरूम', 'स्नानागार', 'गुसलख़ाना', 'ग़ुसलख़ाना', 'स्नानघर']","['bagno', 'stanza da bagno', 'ritirata', 'toilette']",bath
