fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']",cloud,"['nuvola', 'nembo']"
"['sac à main', 'porte-monnaie', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier', 'poche', 'poche pantalon', 'poche de pantalon']","['Handtasche', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte', 'Hosentasche']","['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к', 'карман', 'карман брюк', 'карма́н', 'карма́шек']","['purse', 'bag', 'handbag', 'pocketbook', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag', 'pocket', 'trouser pocket']","['皮包', '手袋', '手提包', '钱包', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋', '口袋', '荷包']","['bolsa', 'bolso', 'cartera', 'bulto', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra', 'bolsillo']","['ハンドバッグ', '鞄', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋', 'ポケット', '懐中']","['손가방', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방', '호주머니', '주머니', '포켓']","['käekott', 'Kott', 'Paberkott', 'kott', 'kilekott', 'tasku', 'Tasku']","['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki', 'tasku']","['tas', 'handtas', 'Handtas', 'tasje', 'zak', 'papieren tas', 'buil', 'broekzak']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले', 'जेब', 'चेद']",bag,"['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta', 'tasca dei calzoni', 'tasca dei pantaloni', 'tasca']"
"['entrée', 'vestibule', 'bouche', 'vestibule de la bouche']","['Eingang', 'Flur', 'Eingangsbereich', 'Windfang', 'Mund']","['сени', 'вход', 'прихо́жая', 'вестибю́ль', 'рот', 'преддверие рта']","['entry', 'entranceway', 'entree', 'entrance', 'entryway', 'mouth', 'vestibule of mouth']","['入口', '玄關', '入口道路', '进口', '门口', '入场', '通道', '进入', '嘴']","['boca', 'entrada', 'zaguán', 'recibidor', 'vestíbulo', 'acceso', 'vía de acceso', 'ingreso', 'nariz']","['玄関', '口', '口腔前庭']",['현관'],['sissepääs'],"['eteinen', 'sisäänkäynti', 'suuaukko']","['ingang', 'entree', 'toegangsdeur', 'hal', 'mond', 'reukorgaan', 'snufferd', 'snotkoker', 'muil', 'neus']",['प्रवेश'],mouth,"['ingresso', 'entrata', 'accesso', 'adito', 'bocca']"
"['Terre', 'monde', 'Monde', 'terre', 'pays', 'État du Mexique', 'état', 'contrée', 'État', 'humanité', 'genre humain', 'race humaine', 'domaine rural', 'propriété foncière', 'terrain', 'domaine', 'territoire', 'terre ferme', 'plancher des vaches', 'sol']","['Welt', 'Blauer Planet', 'Erde', 'Erdkugel', 'Weltkugel', 'Staat', 'Nation', 'Nationalstaat', 'Land', 'Bundesland', 'Vaterland', 'Bundesstaat in Mexiko', 'Menschheit', 'Landgut', 'Länder', 'Gutshof', 'Krongut', 'Grundeigentum', 'Festland', 'Grund', 'Erdboden', 'Boden', 'fester Boden', 'Blumenerde']","['Земля', 'Земля́', 'земля́', 'штат', 'госуда́рство', 'страна', 'префекту́ра', 'край', 'прови́нция', 'держа́ва', 'штат Мексики', 'страна́', 'о́бласть', 'мир', 'челове́чество', 'имение', 'Домен', 'домен', 'поместье', 'земля', 'суша', 'су́ша', 'зе́мли', 'грунт']","['Blue Planet', 'Earth', 'earth', 'globe', 'world', 'World', 'Globe', 'state', 'nation', 'country', 'sovereign state', 'land', 'state of Mexico', 'humanity', 'man', 'mankind', 'humankind', 'humans', 'human beings', 'human race', 'estate', 'landed estate', 'acres', 'demesne', 'landed property', 'ground', 'terra firma', 'solid ground', 'dry land', 'land mass', 'soil', 'dirt']","['地球', '大地', '世界', '國家', '国家', '州份', '州', '邦', '墨西哥州份', '人类', '人類', '不动产', '庄园', '领主自留地', '不在地主所有權', '陸地', '地', '土地', '陆地', '地面', '泥土', '土壤', '土', '壤']","['tierra', 'globo terrestre', 'globo', 'mundo', 'globo terráqueo', 'Planeta Tierra', 'nuestro planeta', 'Mundo', 'el planeta', 'estado', 'país', 'nación', 'estado soberano', 'estado de México', 'humanidad', 'raza humana', 'género humano', 'especie humana', 'hombre', 'finca', 'dominio', 'propiedad de la tierra', 'terreno', 'hacienda', 'territorio', 'tierra firme', 'suelo']","['地球', 'アース', '国', '国家', '州', 'メキシコの州', '人類', '人間', '世界', '不在地主所有権', '土地', '不動産', '領域', '地', '地面', '大地', '土', '陸地']","['지구', '나라', '멕시코의 주', '국가', '주', '국토', '인류', '세계', '땅', '토지', '육지', '륙지', '대지', '뭍']","['Maa', 'maakera', 'maa', 'liidumaa', 'osariik', 'riik', 'maailm', 'domeen', 'Domeen', 'maismaa']","['Maa', 'maa', 'maapallo', 'maailma', 'valtio', 'osavaltio', 'Meksikon osavaltiot', 'ihmiskunta', 'ihmiset', 'maatila', 'valtion maa', 'kuninkaankartano', 'tila', 'maat', 'tilukset', 'kruununmaa', 'maaomaisuus', 'maanpinta', 'kuiva maa', 'sora', 'irtomaa', 'multa']","['Aarde', 'wereldbol', 'aardrijk', 'ondermaanse', 'wereld', 'aardkloot', 'aardbol', 'aarde', 'land', 'natie', 'staat', 'staat van Mexico', 'mensheid', 'mens', 'mensdom', 'mensengeslacht', 'landgoed', 'grondeigendom', 'domein', 'grond', 'zate', 'goed', 'eigendom', 'trek', 'bezit', 'droge land', 'vaste grond', 'bodem', 'vasteland', 'teelaarde', 'omgeving', 'vaderland']","['जमीन', 'ज़मीन', 'भू', 'क्षिति', 'क्षोणी', 'भूलोक', 'पृथ्वी', 'भूमि', 'धर्ती', 'देश', 'राज्य', 'प्रदेश', 'राष्ट्र', 'स्टेट', 'जगत', 'जग', 'आलम', 'मानवता', 'दुनिया', 'लोक', 'सरजमीन', 'धरती', 'भूतल']",soil,"['Terra', 'globo terrestre', 'terra', 'mondo', 'globo', 'globo terracqueo', 'Globo', 'Pianeta Terra', 'Mondo', 'paese', 'nazione', 'patria', 'stato', 'Stati federati del Messico', 'Paese', 'umanità', 'uomo', 'genere umano', ""collettivita' umana"", 'gente', 'società', 'razza umana', 'podere', 'Demanio regio', 'dominio', 'proprietà fondiaria', 'tenuta', 'fondo', 'campagna', 'latifondo', ""proprieta'-terriera"", 'possedimento', 'territorio', 'terraferma', 'superficie', 'suolo', 'terra ferma', 'continente', 'terriccio', 'terreno']"
"['montagne', 'colline']","['Berg', 'Hügel']","['гора', 'холм']","['mountain', 'mount', 'hill', 'loma', 'colina']","['山', '山脉', '高山', '大山', '山头', '丘陵', '小山', '山頭', '丘', '山丘', '山冈']","['montaña', 'monte', 'colina', 'loma', 'cerro', 'puig', 'collado', 'otero']","['山岳', '山', '丘陵', '丘']","['산', '언덕']","['mägi', 'küngas']","['vuori', 'kukkula', 'mäki', 'kohouma', 'kumpu']","['berg', 'heuvel']","['पहाड़', 'पर्वत', 'पहाड़ी', 'पसंद']",mountain,"['montagna', 'monte', 'collina', 'montuosità', 'colle', 'poggio']"
"['textile', 'étoffe', 'tissu', 'voile']","['Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie', 'Segel']","['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л', 'парус', 'ветри́ло', 'па́рус']","['fabric', 'cloth', 'textile', 'material', 'sail', 'canvass', 'sheet', 'canvas']","['紡織', '布料', '纺织', '织物', '台布', '布', '衣料', '纺织品', '織物', '风帆', '帆', '風帆']","['tela', 'textil', 'tejido', 'género', 'paño', 'trapo', 'material', 'vela', 'lona']","['布', '織物', '帆']","['직물', '옷감', '돛']","['tekstiil', 'riie', 'kangas', 'Puri', 'puri']","['tekstiili', 'kangas', 'kudos', 'materiaali', 'purje']","['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod', 'zeil', 'schilderslinnen', 'blad', 'zeiltocht', 'linnen', 'zeilen', 'zeildoek']","['कपड़ा', 'वस्त्र', 'पाल']",cloth,"['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'roba', 'pezza', 'panno', 'sbiadato', 'vela']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia', 'centre']","['Herz', 'Philia', 'Affektion', 'Zuneigung', 'Kern']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко', 'ядро́', 'середи́на', 'центр', 'сердцеви́на']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio', 'eye', 'center', 'centre', 'middle', 'core']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感', '中间', '中心', '中心点', '中央', '核心']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño', 'centro', 'ojo', 'medio']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形', '中心', '芯']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous', 'keskusta', 'keskus', 'silmä', 'keskipiste', 'sisus']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid', 'kern']","['हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'दिल', 'क़ल्ब']",heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore', 'centro', 'mezzo', 'anima', 'nucleo']"
"['jour', 'jour solaire']","['Tag', 'Solartag', 'Sonnentag']","['со́лнечные су́тки', 'сутки']","['twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day', 'day']","['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['día', 'día solar']","['日', '太陽日']","['날', '일']",['ööpäev'],"['vuorokausi', 'aurinkovuorokausi', 'päivä']","['dag', 'zonnedag']",['दिन'],day,"['giorno', ""ventiquattr'ore""]"
"['étoile', 'superstar', 'spécialiste', 'vedette', 'connaisseur', 'as', 'machine', 'expert', 'champion', 'Maven', 'virtuose', 'génie', 'bête', 'effet superstar', 'star', 'sommité']","['Stern', 'Sonne', 'Fixstern', 'Superstar', 'Expertin', 'Promi', 'Kennerin', 'Adept', 'Prominenter', 'Prominente', 'Experte', 'Kenner', 'Maven', 'Wunder-', 'Star', 'Meister']","['звезда', 'звезда́', 'специали́стка', 'ма́стер', 'до́ка', 'адепт', 'уме́лица', 'экспе́рт', 'знато́к', 'суперзвезда́', 'уме́лец', 'специали́ст', 'суперзвезда', 'Maven', 'спец', 'Суперзвезда']","['star', 'superstar', 'maven', 'intenditore', 'wiz', 'champion', 'whiz', 'mavin', 'hotshot', 'wizard', 'adept', 'genius', 'ace', 'virtuoso', 'sensation', 'whizz', 'Maven', 'principal', 'lead']","['星', '恒星', '恆星', '母恒星', '星章', '星标', '星形', '星形物', '超级明星', '超級明星', '专家', '超天才', '好手', '行家', '高手', '天才人物', '天才', '精明的人', '能手', '專家', 'Maven', '熟練的人', '明星', '熟练的人', '巨星']","['estrella', 'astro', 'superestrella', 'entendida', 'entendido', 'Adepto', 'adepto', 'Maven', 'experta', 'experto', 'diestro', 'crack', 'asistente', 'virtuoso', 'ducho', 'genio', 'maven', 'mavin', 'as', 'wiz', 'hacha', 'artista', 'protagonista']","['恒星', '星', '母恒星', 'スーパースター', '著名人', '花形', '有名人', '大物', 'アデプト', 'メイヴン', '主演', '主役']","['별', '항성', '외계 행성 주인별', '슈퍼스타', '유명인', '스타', '메이븐', '마벤']","['täht', 'Täht', 'superstaar', 'sepp', 'talent', 'adept', 'staar', 'Adept', 'kuulsus', 'filmitäht', 'lavatäht']","['tähti', 'kiintotähti', '-niekka', 'supertähti', 'ekspertti', 'tuntija', 'asiantuntija', 'taituri', 'taitaja', 'Adepti', 'ässä', 'taitoniekka', 'adepti', 'huippu-', 'mestari', 'nero', 'virtuoosi', 'velho', 'huippu', 'pääosan esittäjä']","['zon', 'ster', 'sterretje', 'vedette', 'superster', 'expert', 'zelf-benoemde expert', 'adept', 'Maven', 'deskundige', 'zelf-benoemde specialist', 'kanjer', 'hoogvlieger', 'kei', 'topper', 'genie', 'aas', 'kraan', 'bollebof', 'licht', 'meesteres', 'knapperd', 'grootmeester', 'meester', 'crack', 'coryfee', 'virtuoos', 'meesterbrein', 'specialist', 'bolleboos', 'raspaardje', 'uitblinker', 'duivelskunstenaar', 'hoofdrolspeler']","['तारा', 'सुपरसितारा', 'सितारा', 'प्रवीण', 'स्टार', 'सुपरस्टार']",star,"['stella', 'astro', 'sole', 'superstar', 'Maven', 'diva', 'intenditore', 'adepto', 'star', 'primadonna', 'cannone', 'cima', 'demonio', 'mostro', 'mago', 'fuoriclasse', 'asso', 'fenomeno', 'divo', 'celebrità', 'vedette']"
['printemps'],"['Frühjahr', 'Frühling', 'Lenz']","['весна', 'весна́', 'весеннее вре́мя года', 'весе́нний сезо́н']","['spring', 'springtime']","['春天', '春', '春季']",['primavera'],['春'],['봄'],['kevad'],"['kevät', 'keväin']","['voorjaar', 'lente', 'lentetijd']","['बसंत', 'बहार', 'वसंत', 'वसन्त ऋतु']",spring,['vere']
