fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Winkel', 'Supplementwinkel']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
"['arc', 'arc à flèche', 'arc et flèche', 'arc électrique', 'étincelle électrique', 'décharge électrique', 'Arc électrique', 'arc à flèches']","['Pfeil und Bogen', 'Bogen', 'Funke', 'Lichtbogen', 'elektrische Lawinenentladung']","['лук', 'лук и стре́лы', 'лук со стрелами', 'электрический разряд', 'Электрический разряд', 'искровой разряд', 'искра́', 'электрическая дуга', 'и́скра']","['bow and arrow', 'bow', 'electric arc', 'discharge', 'spark', 'arc', 'electric discharge', 'electric spark']","['弓', '弓箭', '弓矢', '火花', '电弧', '放電']","['arco', 'arco y flecha', 'chispa', 'arco eléctrico', 'descarga eléctrica', 'chispa eléctrica', 'centella', 'arco voltaico']","['弓矢', '弓', '弓箭', '電弧', '電気スパーク', '放電']","['궁시', '활', '궁전', '아크 방전', '스파크', '전기 불꽃', '궁']","['vibu', 'Sädelahendus', 'Kaarlahendus', 'elektrilahendus', 'kaarlahendus', 'Elektrilahendus', 'sädelahendus']","['jousi', 'jousi ja nuoli', 'jousipyssy', 'sähkökipinä', 'valokaari', 'Valokaari', 'kipinä', 'sähköpurkaus', 'sähkövalokaari', 'purkaus', 'kaari']","['boog en pijlen', 'boog', 'pijl en boog', 'schietboog', 'vonk', 'vlamboog']","['धनुष', 'धनुष बाण', 'वैद्युत आर्क', 'कमान']","['arco e freccie', 'arco e freccia', 'scintilla', 'scintilla elettrica', 'ionizzazione dei gas', 'Ionizzazione dei gas', 'scarica elettrica']",arch
"['arme', 'arme à feu', 'arme de projectile', 'pistolet', 'armement']","['Waffe', 'Arm', 'Schusswaffe', 'Feuerwaffe', 'Armeestärke']","['оружие', 'ору́жие', 'метательное оружие', 'стреляющее оружие', 'огнестрельное оружие']","['weapon', 'weapon system', 'arm', 'gun', 'firearm', 'fire arm', 'projectile weapon', 'armament']","['兵器', '武器', '武装', '槍', '銃', '枪', '铳', '枪械', '手枪', '枪炮', '军火', '火力装备', '武器装备']","['arma', 'arma de fuego', 'arma de proyectil', 'cañón', 'obús', 'escopeta', 'pistola', 'armamento']","['武器', '兵器', '銃', '火器']","['무기', '병기', '전쟁무기', '총', '화기']","['relv', 'Relv', 'tulirelv']","['ase', 'astalo', 'ampuma-ase', 'tuliase', 'tykki', 'pistooli', 'pyssy', 'aseistus']","['wapen', 'gevechtswapen', 'strijdmiddel', 'geweer', 'vuurwapen', 'projectielwapen', 'pistool', 'kanon', 'stuk', 'bewapening', 'oorlogsmaterieel', 'wapentuig', 'krijgsmaterieel', 'oorlogstuig', 'wapening', 'oorlogsmateriaal']","['हथियार', 'शस्त्र', 'आयुध', 'अग्निशस्त्र']","['ordigno', 'arma da fuoco', 'arma balistica', 'pistola', 'armamento']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes', 'violence', 'force', 'intensité sonore', 'sonorité', 'intensité', 'intensité acoustique', 'sonie', 'correcteur physiologique', 'volume', 'effectif', 'vigueur', 'puissance', 'poussée', 'force musculaire', 'force physique']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie', 'Gewalt', 'Kraft', 'Lautstärke', 'Lautheit', 'Schallintensität', 'Lautstärkepegel', 'Stärke', 'Festigkeit', 'Mumm', 'Schub']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́', 'насилие', 'сила', 'громкость', 'Интенсивность звука', 'гро́мкость', 'громкость звука', 'интенсивность звука', 'мощь', 'си́ла']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine', 'violence', 'loudness', 'volume', 'intensity', 'sound intensity', 'strength', 'forcefulness', 'thrust', 'driving force', 'drive', 'power', 'muscular strength', 'might', 'physical strength', 'mightiness']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队', '暴力', '力', '響度', '音强', '音量', '力氣', '力气', '力量', '势力']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas', 'violencia', 'vigor', 'intensidad', 'intensidad sonora', 'volumen', 'intensidad de sonido', 'sonoridad', 'ñeque', 'fortaleza', 'empuje', 'impulso', 'poderío', 'potencia', 'poder']","['軍隊', '軍事', '軍', '暴力', '力', '音の強さ', '音の大きさ']","['군사', '군대', '폭력', '힘', '음향 인텐시티', '라우드니스']","['relvajõud', 'sõjavägi', 'vägivald', 'jõud', 'valjus', 'helivaljus', 'heliintensiivsus', 'Heli intensiivsus', 'tugevus']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat', 'väkivalta', 'voima', 'äänekkyys', 'kuuluvuus', 'äänenvoimakkuus', 'Äänenvoimakkuus', 'volyymi', 'vahvuus', 'voimakkuus', 'tönäisy', 'työntö', 'käyttövoima', 'työntövoima', 'väkevyys']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée', 'geweld', 'bruutheid', 'gewelddadigheid', 'kracht', 'macht', 'power', 'geluidssterkte', 'geluidsvolume', 'geluidsniveau', 'luidheid', 'Geluidsintensiteit', 'geluidsintensiteit', 'volume', 'sterkte', 'soliditeit', 'degelijkheid', 'lichaamskracht', 'intensiteit', 'duwkracht', 'duw', 'stuwkracht', 'drijfkracht', 'por', 'stoot', 'stuwing', 'spierkracht']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज', 'हिंसा', 'बल', 'ताक़त', 'शक्ति']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito', 'violenza', 'forza', 'energia', 'Potenza', 'volume', 'intensità sonora', 'intensità acustica', 'Intensità acustica', 'vigore', 'fibra', 'corpo', 'lena', 'nerbo', 'possa', 'solidità', 'gagliardia', 'robustezza', 'spinta', 'forza fisica', 'forza muscolare']",army
"['mineur', 'frite', 'gosse', 'enfant', 'pomme frite', 'jeune', 'responsabilité pénale des mineurs', 'nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'garçon', 'enfants', 'fils']","['Minderjährige', 'Kind', 'Jugendliche', 'minderjährigkeit', 'Minderjährigkeit', 'Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kriechling', 'Jüngling', 'Knabe', 'Bub', 'Bursche', 'Junge', 'Kinder']","['несовершеннолетний', 'ребенок', 'ребёнок', 'младенец', 'дитя', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́', 'мальчик']","['fry', 'french fry', 'minor', 'chip', 'child', 'youngster', 'shaver', 'small fry', 'kid', 'nestling', 'tiddler', 'tike', 'tyke', 'nipper', 'baby', 'infaneto', 'infant', 'babe', 'boy', 'male child', 'children', 'son']","['兒童', '孩儿', '孩', '小孩子', '小孩', '小兒', '孩子', '孩兒', '儿童', '小儿', '未成年人', '婴儿', '嬰兒', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝', '男孩', '男子', '男孩子', '少年', '小孩儿', '儿子或女儿', '后代']","['niño', 'papa frita', 'niña', 'menor de edad', 'menor', 'joven', 'infancia', 'minoría de edad', 'jovenzuelo', 'mozalbete', 'chico', 'muchachuelo', 'chiqüelo', 'chiquillo', 'criatura', 'crío', 'chango', 'pececillo', 'cría', 'chaval', 'alevín', 'nene', 'tike', 'bebé', 'niño de pecho', 'niña de pecho', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'jovencito', 'muchacho', 'niño varón', 'garzón', 'mozo', 'niños', 'ninzzo', 'hijo', 'hija']","['子', '子供', '未成年者', '赤ちゃん', '赤ん坊', '乳児', '幼児', '男の子', '少年']","['아이', '어린이', '미성년자', '아기', '유아', '소년']","['alaealine', 'laps', 'alaealisus', 'väikelaps', 'beebi', 'Imik', 'imik', 'poiss', 'lapsed']","['alaikäinen', 'lapsi', 'vekara', 'pikkumies', 'vintiö', 'napero', 'lapsukainen', 'kersa', 'pentu', 'tenava', 'ipana', 'muksu', 'pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä', 'poika']","['patat', 'kind', 'friet', 'jongere', 'jongeling', 'minderjarige', 'ding', 'baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje', 'joch', 'jong', 'knul', 'gozer', 'knaap', 'jongen', 'kinderen', 'loot', 'spruit', 'koter', 'zoonlief', 'zoon']","['नाबालिग', 'बच्चा', 'शिशु', 'लड़का']","['minore', 'fanciullo', 'giovane', 'fanciullino', 'bambino', 'moccioso', 'mimmo', 'pargolo', 'bimbo', 'figlio', 'ragazzo', 'marmocchio', 'neonato', 'bambino piccolo', 'bambina', 'bebè', 'piccino', 'fantolino', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante', 'figliuolo', 'figliolo', 'ragazzino', 'guaglione', 'maschietto', 'bambini', 'bambine', 'figlio piccolo', 'figlio maschio', 'maschio']",baby
"['sac à main', 'porte-monnaie', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier']","['Handtasche', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte']","['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к']","['purse', 'bag', 'handbag', 'pocketbook', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag']","['皮包', '手袋', '手提包', '钱包', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋']","['bolso', 'cartera', 'bulto', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra']","['ハンドバッグ', '鞄', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋']","['손가방', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방']","['käekott', 'Kott', 'Paberkott', 'kott', 'kilekott']","['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki']","['tas', 'handtas', 'Handtas', 'tasje', 'zak', 'papieren tas', 'buil']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले']","['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta']",bag
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
