fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']",cloud,"['nube', 'nuvola', 'nembo']"
"['sac', 'sac plastique', 'sac de caisse', 'sac en papier', 'valise', 'valoche']","['Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte', 'Reisekoffer', 'Koffer', 'Reisetasche']","['сумка', 'паке́т', 'кулёк', 'Бумажный пакет', 'су́мка', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к', 'чемодан', 'чемода́н']","['sack', 'bag', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag', 'case', 'suitcase', 'traveling bag', 'travelling bag', 'grip']","['袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋', '手提箱', '行李箱', '皮箱', '衣箱']","['bolso', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra', 'valija', 'maleta', 'petaca', 'bolsa de viaje', 'mala']","['袋', '鞄', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋', 'スーツケース', 'トランク']","['가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방', '여행 가방', '트렁크', '슈트케이스']","['Kott', 'Paberkott', 'kott', 'kilekott', 'kohver']","['laukku', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki', 'matkalaukku', 'matkakassi']","['tas', 'zak', 'papieren tas', 'buil', 'koffer', 'valies']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले', 'सूटकेस']",bag,"['sacchetto', 'sacco', 'borsa', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta', 'valiggia', 'valigia', 'bagaglio']"
"['sol', 'Soleil', 'soleil', 'territoire', 'terre ferme', 'plancher des vaches', 'terre', 'plancher']","['Sonne', 'Land', 'Festland', 'Grund', 'Erdboden', 'Boden', 'Erde', 'Länder', 'fester Boden', 'Fußboden', 'Blumenerde']","['Солнце', 'Со́лнце', 'земля', 'суша', 'су́ша', 'земля́', 'зе́мли', 'грунт', 'под', 'поверх', 'пол']","['sun', 'Sun', 'land', 'ground', 'terra firma', 'earth', 'solid ground', 'dry land', 'land mass', 'floor', 'flooring', 'soil', 'dirt']","['日头', '太阳', '日', '日頭', '太陽', '陸地', '地', '土地', '陆地', '地面', '地板', '楼板', '樓板', '泥土', '土壤', '土', '壤']","['tierra', 'territorio', 'terreno', 'tierra firme', 'suelo', 'piso', 'solería']","['ひ', '日', '太陽', '地', '地面', '土地', '大地', '土', '陸地', '床']","['태양', '해', '일', '땅', '육지', '륙지', '대지', '뭍', '토지', '바닥', '마루']","['Päike', 'päike', 'maa', 'maismaa', 'põrand', 'Põrand']","['Aurinko', 'aurinko', 'maa', 'maanpinta', 'kuiva maa', 'lattia', 'sora', 'irtomaa', 'multa']","['zon', 'koperen ploert', 'Zon', 'zonnetje', 'land', 'aarde', 'droge land', 'vaste grond', 'grond', 'bodem', 'vasteland', 'vloer', 'teelaarde', 'omgeving']","['सूरज', 'दिनकर', 'भानु', 'आदित्य', 'ख़्वुरशेद', 'खुरशीद', 'सूर्य', 'शम्स', 'रवि', 'सरजमीन', 'धरती', 'भूतल', 'ज़मीन', 'भूमि', 'फ़र्श', 'फर्श']",soil,"['sole', 'Sole', 'territorio', 'terra', 'terraferma', 'superficie', 'suolo', 'terra ferma', 'continente', 'pavimento', 'tavolato', 'piantito', 'piancito', 'impiantito', 'solaio', 'terriccio', 'terreno']"
['montagne'],['Berg'],['гора'],"['mountain', 'mount']","['山', '山脉', '高山', '大山']","['montaña', 'monte']","['山岳', '山']",['산'],['mägi'],['vuori'],['berg'],"['पहाड़', 'पर्वत']",mountain,"['montagna', 'monte']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia', 'centre']","['Herz', 'Philia', 'Affektion', 'Zuneigung', 'Kern']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко', 'ядро́', 'середи́на', 'центр', 'сердцеви́на']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio', 'core']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感', '核心']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形', '中心', '芯']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous', 'keskusta', 'sisus']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid', 'kern']","['हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'दिल', 'क़ल्ब']",heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore', 'anima', 'nucleo']"
"['main', 'patte']",['Hand'],"['рука', 'кисть']","['hand', 'manus', 'mitt', 'paw', 'Manus']","['手', '前足', '前肢骨']","['mano', 'palma', 'zarpa', 'manus', 'pata']","['手', 'マヌス']",['손'],['labakäsi'],"['käsi', 'jalka', 'käpälä', 'manus']","['klauw', 'hand', 'poot', 'klauwen', 'klavier', 'fik', 'vlerken', 'kluif', 'tengels', 'knijper', 'klavieren', 'fikken']",['हाथ'],hand,['mano']
"['jour', 'jour solaire']","['Tag', 'Solartag', 'Sonnentag']","['со́лнечные су́тки', 'сутки']","['twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day', 'day']","['日', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['día', 'día solar']","['日', '太陽日']","['날', '일']",['ööpäev'],"['vuorokausi', 'aurinkovuorokausi', 'päivä']","['dag', 'zonnedag']",['दिन'],day,"['giorno', ""ventiquattr'ore""]"
"['étoile', 'superstar', 'spécialiste', 'vedette', 'connaisseur', 'as', 'machine', 'expert', 'champion', 'Maven', 'virtuose', 'génie', 'bête', 'effet superstar', 'star', 'sommité']","['Stern', 'Sonne', 'Fixstern', 'Superstar', 'Expertin', 'Promi', 'Kennerin', 'Adept', 'Prominenter', 'Prominente', 'Experte', 'Kenner', 'Maven', 'Wunder-', 'Star', 'Meister']","['звезда', 'звезда́', 'специали́стка', 'ма́стер', 'до́ка', 'адепт', 'уме́лица', 'экспе́рт', 'знато́к', 'суперзвезда́', 'уме́лец', 'специали́ст', 'суперзвезда', 'Maven', 'спец', 'Суперзвезда']","['star', 'superstar', 'maven', 'intenditore', 'wiz', 'champion', 'whiz', 'mavin', 'hotshot', 'wizard', 'adept', 'genius', 'ace', 'virtuoso', 'sensation', 'whizz', 'Maven']","['星', '恒星', '恆星', '母恒星', '星章', '星标', '星形', '星形物', '超级明星', '超級明星', '专家', '超天才', '好手', '行家', '高手', '天才人物', '天才', '精明的人', '能手', '專家', 'Maven', '熟練的人', '明星', '熟练的人', '巨星']","['estrella', 'astro', 'superestrella', 'entendida', 'entendido', 'Adepto', 'adepto', 'Maven', 'experta', 'experto', 'diestro', 'crack', 'asistente', 'virtuoso', 'ducho', 'genio', 'maven', 'mavin', 'as', 'wiz', 'hacha']","['恒星', '星', '母恒星', 'スーパースター', '著名人', '花形', '有名人', '大物', 'アデプト', 'メイヴン']","['별', '항성', '외계 행성 주인별', '슈퍼스타', '유명인', '스타', '메이븐', '마벤']","['täht', 'Täht', 'superstaar', 'sepp', 'talent', 'adept', 'staar', 'Adept', 'kuulsus']","['tähti', 'kiintotähti', '-niekka', 'supertähti', 'ekspertti', 'tuntija', 'asiantuntija', 'taituri', 'taitaja', 'Adepti', 'ässä', 'taitoniekka', 'adepti', 'huippu-', 'mestari', 'nero', 'virtuoosi', 'velho', 'huippu']","['zon', 'ster', 'sterretje', 'vedette', 'superster', 'expert', 'zelf-benoemde expert', 'adept', 'Maven', 'deskundige', 'zelf-benoemde specialist', 'kanjer', 'hoogvlieger', 'kei', 'topper', 'genie', 'aas', 'kraan', 'bollebof', 'licht', 'meesteres', 'knapperd', 'grootmeester', 'meester', 'crack', 'coryfee', 'virtuoos', 'meesterbrein', 'specialist', 'bolleboos', 'raspaardje', 'uitblinker', 'duivelskunstenaar']","['तारा', 'सुपरसितारा', 'सितारा', 'प्रवीण', 'स्टार', 'सुपरस्टार']",star,"['stella', 'astro', 'sole', 'superstar', 'Maven', 'diva', 'intenditore', 'adepto', 'star', 'primadonna', 'cannone', 'cima', 'demonio', 'mostro', 'mago', 'fuoriclasse', 'asso', 'fenomeno']"
['ressort'],"['Feder', 'Sprungfeder']","['пружина', 'пружи́на', 'рессо́ра']",['spring'],"['彈簧', '弹簧', '發條', '发条']","['resorte', 'muelle']","['スプリング', 'バネ', '発条', 'ばね']","['출렁쇠', '용수철']","['vedru', 'Vedru']","['jousi', 'vieteri', 'joustin']",['veer'],['कमानी'],spring,['molla']
['lune'],"['Mond', 'Frau Luna', 'Luna', 'Erdmond']","['Луна', 'месяц']","['Luna', 'Moon', 'moon']","['月球', '月', '月亮']","['Luna', 'luna']",['月'],['달'],['Kuu'],"['Kuu', 'kuu']","['maan', 'Maan']",['चन्द्रमा'],moon,"['luna', 'Luna']"
