fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires', 'coin']","['Winkel', 'Supplementwinkel', 'Ecke']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles', 'corner']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'rincón', 'esquina']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma', 'nurkka']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
"['arc', 'arc à flèche', 'arc et flèche', 'arc électrique', 'étincelle électrique', 'décharge électrique', 'Arc électrique', 'arc à flèches']","['Pfeil und Bogen', 'Bogen', 'Funke', 'Lichtbogen', 'elektrische Lawinenentladung']","['лук', 'лук и стре́лы', 'лук со стрелами', 'электрический разряд', 'Электрический разряд', 'искровой разряд', 'искра́', 'электрическая дуга', 'и́скра']","['bow and arrow', 'bow', 'electric arc', 'discharge', 'spark', 'electric discharge', 'electric spark']","['弓', '弓箭', '弓矢', '火花', '电弧', '放電']","['arco y flecha', 'arco', 'chispa', 'arco eléctrico', 'descarga eléctrica', 'chispa eléctrica', 'centella', 'arco voltaico']","['弓矢', '弓', '弓箭', '電弧', '電気スパーク', '放電']","['궁시', '활', '궁전', '아크 방전', '스파크', '전기 불꽃', '궁']","['vibu', 'Sädelahendus', 'Kaarlahendus', 'elektrilahendus', 'kaarlahendus', 'Elektrilahendus', 'sädelahendus']","['jousi', 'jousi ja nuoli', 'jousipyssy', 'sähkökipinä', 'valokaari', 'Valokaari', 'kipinä', 'sähköpurkaus', 'sähkövalokaari', 'purkaus', 'kaari']","['boog en pijlen', 'boog', 'pijl en boog', 'schietboog', 'vonk', 'vlamboog']","['धनुष', 'धनुष बाण', 'वैद्युत आर्क', 'कमान']","['arco', 'arco e freccie', 'arco e freccia', 'scintilla', 'scintilla elettrica', 'ionizzazione dei gas', 'Ionizzazione dei gas', 'scarica elettrica']",arch
['arme'],"['Waffe', 'Arm']","['оружие', 'ору́жие']","['weapon', 'weapon system', 'arm']","['兵器', '武器', '武装']",['arma'],"['武器', '兵器']","['무기', '병기', '전쟁무기']","['relv', 'Relv']","['ase', 'astalo']","['wapen', 'gevechtswapen', 'strijdmiddel']","['हथियार', 'शस्त्र', 'आयुध']","['arma', 'ordigno']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['軍隊', '軍事', '軍']","['군사', '군대']","['relvajõud', 'sõjavägi']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['baby', 'infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['lavabo', 'évier']","['Waschbecken', 'Waschschüssel', 'Spüle', 'Spülstein', 'Spülbecken']","['рукомойник', 'ра́ковина', 'умыва́льный таз', 'Рукомойник', 'умыва́льник', 'рукомо́йник', 'таз', 'раковина', 'Раковина', 'мо́йка']","['washbowl', 'washbasin', 'handbasin', 'wash-hand basin', 'sink', 'basin', 'kitchen sink']","['脸盆', '臉盆', '水槽', '盥洗盆', '洗手盆']","['pila', 'lavatorio', 'aljofaina', 'palangana', 'jofaina', 'lavamanos', 'fregadero']","['洗面器', '洗面台', '聖水盤', '流し台', 'シンク', 'キッチンシンク', '流し']","['세면기', '대야', '세수대야', '개수대', '싱크', '싱크대']","['kraanikauss', 'bassein', 'Bassein', 'valamu']","['lavuaari', 'pesuvati', 'pesuallas', 'käsienpesuallas', 'amme', 'Lavuaari', 'viemäriallas']","['wasbak', 'wastafel', 'waskom', 'bassin', 'bekken', 'gootsteen', 'afwasbak']",['चिलमची'],"['lavello', 'lavandino', 'acquaio', 'bacino', 'toilette']",basin
"['salle de bain', 'salle de bains', 'Modèle:Autres langues', 'bain', 'toilette', 'cabinet de toilette']","['Badestube', 'Badezimmer', 'Bad', 'Vorlage:Andere Sprachen', 'Abtritt', 'Örtchen', 'WC', 'Toilette', 'Abort', 'stilles Örtchen', 'Klo', 'Lokus', 'Klosett']","['ванная', 'ба́ня', 'ванная комната', 'ва́нная', 'туалет']","['bath', 'restroom', 'bathroom', 'lav', 'privy', 'john', 'loo', 'can', 'washroom', 'toilet', 'lavatory', 'bog', 'water closet', 'WC']","['浴室', '衛生間', '卫生间', '厕所', '廁所']","['baño', 'cuarto de baño', 'lavabo', 'aseo', 'excusado', 'inodoro', 'retrete', 'lav', 'lata', 'váter']","['バスルーム', '浴室', '風呂場', '浴場', 'てあらい', 'べんじょ', '化粧室', '手洗い', 'かわや', 'はばかり', 'トイレ', '憚り', '厠', '便所', 'けしょうしつ']","['화장실', '목욕실', '욕실']","['vannituba', 'tualett', 'Tualett']","['kylpyhuone', 'kylpylä', 'käymälä', 'toiletti', 'vessa', 'pesuhuone']","['wasgelegenheid', 'badkamer', 'badkuip', 'bad', 'privaat', 'toilet', 'wc', 'closet', 'wc-pot', 'retirade', 'herentoilet', 'toiletpot', 'schijthuis', 'gemak', 'kakdoos', 'plee', 'poepdoos', 'doos', 'bestekamer']","['बाथरूम', 'स्नानागार', 'गुसलख़ाना', 'ग़ुसलख़ाना', 'स्नानघर']","['bagno', 'stanza da bagno', 'ritirata', 'toilette', 'latrina', 'cesso', 'gabinetto', 'cacatoio', 'toletta']",bath
"['lit', 'couche']",['Bett'],"['кровать', 'постель', 'ко́йка', 'посте́ль', 'крова́ть']",['bed'],"['床', '睡铺', '卧榻', '床鋪', '臥榻', '睡鋪', '床铺']","['cama', 'piltra', 'catre', 'sobre', 'lecho']","['布団', 'ベッド', '臥榻', '寝床', '寝台']","['침대', '잠자리']",['voodi'],"['vuode', 'sänky', 'peti']","['bed', 'legerstede', 'sponde', 'bedstede', 'ledikant', 'nest']","['बिस्तर', 'पलंग', 'बिछोना', 'बिछौना', 'शय्या']","['letto', 'giaciglio']",bed
['abeille'],"['Imme', 'Biene', 'Bienen', 'Beivogl']","['пчела', 'пчела́', 'пчёлы']","['bee', 'Anthophila']","['蜂', '蜜蜂', '蜂族', '花蜂類', '蜡蜂', '蠟蜂']","['abeja', 'Anthophila', 'anthophila']","['ハチ', '蜂', 'ハナバチ', '花蜂']","['벌', '꿀벌류', '밀봉']","['mesilane', 'Mesilased']","['mehiläiset', 'Mehiläinen', 'mehiläinen', 'mesipistiäiset']","['bij', 'honingbij', 'imme', 'bijen']",['मधुमक्खी'],"['ape', 'Anthophila', 'pecchia']",bee
"['sonnette', 'carillon', 'gong', 'cloche']","['Glocke', 'Klingel', 'Türglocke', 'Türklingel', 'Hausglocke']","['колоко́льчики', 'Дверной звонок', 'звоно́к', 'дверно́й звоно́к', 'дверной звонок']","['chime', 'gong', 'bell', 'buzzer', 'doorbell']","['钟', '钟琴', '门铃', '門鈴', '电铃', '電鈴']","['juego de campanas', 'campanas tubulares', 'carillón', 'gong', 'timbre', 'campanilla de puerta']","['チャイム', '鐘', '呼び鈴', 'ドアベル', '電鈴', 'ドアチャイム', 'ベル']","['차임', '전령', '초인종', '도어폰', '벨']",['uksekell'],"['kellopeli', 'kellot', 'putkikellot', 'kello', 'ovikello', 'Ovikello', 'ovisummeri']","['klok', 'deurbel', 'bel', 'zoemer', 'huisbel', 'klingel', 'schel', 'door Bell', 'ding-dong']","['घंटी', 'द्वारघण्टी', 'दर्वाज़ी की घंटी', 'दरवाज़े की घंटी']","['soneria', 'suoneria', 'campanello']",bell
