fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Winkel', 'Supplementwinkel']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
"['arc', 'arc électrique', 'étincelle électrique', 'décharge électrique', 'Arc électrique']","['Bogen', 'Funke', 'Lichtbogen', 'elektrische Lawinenentladung']","['а́рка', 'арка', 'свод', 'электрический разряд', 'Электрический разряд', 'искровой разряд', 'искра́', 'электрическая дуга', 'и́скра']","['arch', 'electric arc', 'discharge', 'spark', 'arc', 'electric discharge', 'electric spark']","['拱門', '拱', '拱券', '拱门', '拱形结构', '拱形物', '火花', '电弧', '放電']","['arco', 'chispa', 'arco eléctrico', 'descarga eléctrica', 'chispa eléctrica', 'centella', 'arco voltaico']","['アーチ', '電弧', '電気スパーク', '放電']","['아치', '아크 방전', '스파크', '전기 불꽃']","['Kaar', 'kaar', 'Sädelahendus', 'Kaarlahendus', 'elektrilahendus', 'kaarlahendus', 'Elektrilahendus', 'sädelahendus']","['holvikaari', 'Kaari', 'kaari', 'holvi', 'sähkökipinä', 'valokaari', 'Valokaari', 'kipinä', 'sähköpurkaus', 'sähkövalokaari', 'purkaus']","['boog', 'vonk', 'vlamboog']","['चाप', 'वैद्युत आर्क']","['arco', 'fornice', 'arcata', 'scintilla', 'scintilla elettrica', 'ionizzazione dei gas', 'Ionizzazione dei gas', 'scarica elettrica']",arch
"['arme', 'armes', ""système d'armes""]","['Waffe', 'Arm']","['оружие', 'ору́жие']","['weapon', 'weapon system', 'arm', 'weapons system', 'munition', 'implements of war', 'weaponry', 'arms']","['兵器', '武器', '武装']","['arma', 'armas', 'armamento']","['武器', '兵器']","['무기', '병기', '전쟁무기']","['relv', 'Relv']","['ase', 'astalo', 'aseet', 'aseistus', 'sotatarvike', 'asejärjestelmä', 'sotatarvikkeet']","['wapen', 'gevechtswapen', 'strijdmiddel', 'ammunitie', 'munitie']","['हथियार', 'शस्त्र', 'आयुध']","['arma', 'ordigno', 'armi', 'armamento']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes', 'armée de terre', 'Armée régulière', 'armée régulière']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie', 'konstitutionelle Armee', 'Heer', 'Landstreitkräfte', 'Konstitutionelle Armee']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́', 'армия', 'регулярная армия', 'во́йско', 'сухопутные войска']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine', 'ground forces', 'army', 'regular army']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队', '陆军', '正规军', '陸軍', '陆军军队', '军']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas', 'ejército de tierra', 'ejército regular', 'Ejército de Tierra']","['軍隊', '軍事', '軍', '正規軍', '陸軍']","['군사', '군대', '육군', '정규군', '륙군']","['relvajõud', 'sõjavägi', 'regulaarvägi', 'Armee', 'maavägi', 'Regulaarvägi', 'armee']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat', 'maavoimat', 'vakinainen armeija']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée', 'reguliere krijgsmacht', 'heer']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज', 'आर्मी', 'थल सेना', 'सैन्य', 'थलसेना']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito', 'forze di terra', 'armata', 'falange', 'milizia']",army
"['mineur', 'frite', 'gosse', 'enfant', 'pomme frite', 'jeune', 'responsabilité pénale des mineurs', 'nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon']","['Minderjährige', 'Kind', 'Jugendliche', 'minderjährigkeit', 'Minderjährigkeit', 'Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kriechling']","['несовершеннолетний', 'ребенок', 'ребёнок', 'младенец', 'дитя', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['fry', 'french fry', 'minor', 'chip', 'child', 'youngster', 'shaver', 'small fry', 'kid', 'nestling', 'tiddler', 'tike', 'tyke', 'nipper', 'baby', 'infaneto', 'infant', 'babe']","['兒童', '孩儿', '孩', '小孩子', '小孩', '小兒', '孩子', '孩兒', '儿童', '小儿', '未成年人', '婴儿', '嬰兒', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['papa frita', 'niña', 'menor de edad', 'menor', 'niño', 'joven', 'infancia', 'minoría de edad', 'jovenzuelo', 'mozalbete', 'chico', 'muchachuelo', 'chiqüelo', 'chiquillo', 'criatura', 'crío', 'chango', 'pececillo', 'cría', 'chaval', 'alevín', 'nene', 'tike', 'bebé', 'niño de pecho', 'niña de pecho', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe']","['子', '子供', '未成年者', '赤ちゃん', '赤ん坊', '乳児', '幼児']","['아이', '어린이', '미성년자', '아기', '유아']","['alaealine', 'laps', 'alaealisus', 'väikelaps', 'beebi', 'Imik', 'imik']","['alaikäinen', 'lapsi', 'vekara', 'pikkumies', 'vintiö', 'napero', 'lapsukainen', 'kersa', 'pentu', 'tenava', 'ipana', 'muksu', 'pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['patat', 'kind', 'friet', 'jongere', 'jongeling', 'minderjarige', 'ding', 'baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'नाबालिग', 'शिशु']","['minore', 'fanciullo', 'giovane', 'fanciullino', 'bambino', 'moccioso', 'mimmo', 'pargolo', 'bimbo', 'figlio', 'ragazzo', 'marmocchio', 'neonato', 'bambino piccolo', 'bambina', 'bebè', 'piccino', 'fantolino', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['lavabo', 'évier']","['Waschbecken', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['таз', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['sink', 'basin', 'kitchen sink']","['水槽', '盥洗盆', '洗手盆']","['lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['洗面器', '流し台', 'シンク', 'キッチンシンク', '洗面台', '流し']","['개수대', '싱크', '세면기', '싱크대']","['kraanikauss', 'bassein', 'Bassein', 'valamu']","['amme', 'pesuallas', 'lavuaari', 'Lavuaari', 'viemäriallas']","['bassin', 'wastafel', 'bekken', 'gootsteen', 'afwasbak']",['चिलमची'],"['lavello', 'lavabo', 'lavandino', 'bacino', 'acquaio', 'toilette']",basin
