fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires', 'coin', 'coin de rue']","['Winkel', 'Supplementwinkel', 'Ecke', 'Straßenecke']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы', 'у́гол у́лицы', 'у́гол']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles', 'street corner', 'corner', 'turning point', 'streetcorner']","['角', '對頂角', '補角', '余角', '邻角', '鄰角', '街角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'esquina', 'chaflán', 'esquina de calle', 'rincón']","['角', '角度', 'コーナー', '街角']","['맞꼭지각', '각도', '가각', '모퉁이', '코너', '길모퉁이']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma', 'kadunkulma', 'kääntymiskohta', 'nurkka']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek', 'straathoek']","['कोण', 'नुक्कड़']","['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice', 'cantonata', 'angolo della strada']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
"['arc', 'arc à flèche', 'arc et flèche', 'arc électrique', 'étincelle électrique', 'décharge électrique', 'Arc électrique', 'arc à flèches']","['Pfeil und Bogen', 'Bogen', 'Funke', 'Lichtbogen', 'elektrische Lawinenentladung']","['лук', 'лук и стре́лы', 'лук со стрелами', 'электрический разряд', 'Электрический разряд', 'искровой разряд', 'искра́', 'электрическая дуга', 'и́скра']","['bow and arrow', 'bow', 'electric arc', 'discharge', 'spark', 'arc', 'electric discharge', 'electric spark']","['弓', '弓箭', '弓矢', '火花', '电弧', '放電']","['arco y flecha', 'chispa', 'arco eléctrico', 'descarga eléctrica', 'chispa eléctrica', 'centella', 'arco voltaico']","['弓矢', '弓', '弓箭', '電弧', '電気スパーク', '放電']","['궁시', '활', '궁전', '아크 방전', '스파크', '전기 불꽃', '궁']","['vibu', 'Sädelahendus', 'Kaarlahendus', 'elektrilahendus', 'kaarlahendus', 'Elektrilahendus', 'sädelahendus']","['jousi', 'jousi ja nuoli', 'jousipyssy', 'sähkökipinä', 'valokaari', 'Valokaari', 'kipinä', 'sähköpurkaus', 'sähkövalokaari', 'purkaus', 'kaari']","['boog en pijlen', 'boog', 'pijl en boog', 'schietboog', 'vonk', 'vlamboog']","['धनुष', 'धनुष बाण', 'वैद्युत आर्क', 'कमान']","['arco', 'arco e freccie', 'arco e freccia', 'scintilla', 'scintilla elettrica', 'ionizzazione dei gas', 'Ionizzazione dei gas', 'scarica elettrica']",arch
"['blasonnement', 'blason', 'armes', 'armoiries', 'arme']","['Wappenbeschreibung', 'Wappen', 'Blasonierung', 'Staatswappen', 'Reichswappen', 'Wappenschild', 'Waffe', 'Arm']","['геральдический язык', 'герб', 'геральди́ческий язы́к', 'описа́ние герба́', 'оружие', 'ору́жие']","['coat of arms', 'blazon', 'arms', 'blazonry', 'weapon', 'weapon system', 'arm']","['紋章', '國徽', '纹章', '国徽', '纹盾', '盾徽', '兵器', '武器', '武装']","['blasón', 'blasonamiento', 'escudo de armas', 'escudo']","['国章', '紋章記述', '紋章', '武器', '兵器']","['문장', '국장', '무기', '병기', '전쟁무기']","['vapikirjeldus', 'vapp', 'relv', 'Relv']","['vaakuna', 'heraldinen selitys', 'vaakunaselitys', 'ase', 'astalo']","['blazonry', 'heraldisch wapen', 'rijkswapen', 'wapen', 'blazoen', 'staatswapen', 'wapenschild', 'gevechtswapen', 'strijdmiddel']","['कुल चिन्ह', 'राज्य - चिह्न', 'हथियार', 'शस्त्र', 'आयुध']","['arma', 'stemma', 'blasonatura', 'blasone', 'scudo', 'ordigno']",arm
"['unité militaire', 'forces armées', 'armée', 'machine de guerre', 'troupes']","['Verband', 'Truppenteil', 'Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie']","['воинское формирование', 'армейская единица', 'формирование', 'вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́']","['organic unit', 'verband', 'army unit', 'military unit', 'armed forces', 'military', 'force', 'military force', 'war machine', 'armed services', 'military machine']","['軍事單位', '軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队']","['unidad militar', 'unidad orgánica', 'fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['軍隊の構成単位', '軍隊', '軍事', '軍']","['군사 편제', '군사부대', '육군부대', '군사', '군대']","['väeüksus', 'relvajõud', 'sõjavägi']","['sotilasyksikkö', 'asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['militaire eenheid', 'legereenheid', 'strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']","['unità militare', 'unità militari terrestri', 'unità militare terrestre', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['baby', 'infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['lavabo', 'évier']","['Waschbecken', 'Waschschüssel', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['рукомойник', 'ра́ковина', 'умыва́льный таз', 'Рукомойник', 'умыва́льник', 'рукомо́йник', 'таз', 'раковина', 'Раковина', 'мо́йка']","['washbowl', 'lavabo', 'washbasin', 'handbasin', 'wash-hand basin', 'sink', 'basin', 'kitchen sink']","['脸盆', '臉盆', '水槽', '盥洗盆', '洗手盆']","['Lavabo', 'lavabo', 'pila', 'lavatorio', 'aljofaina', 'palangana', 'jofaina', 'lavamanos', 'fregadero']","['洗面器', '洗面台', '聖水盤', '流し台', 'シンク', 'キッチンシンク', '流し']","['세면기', '대야', '세수대야', '개수대', '싱크', '싱크대']","['kraanikauss', 'bassein', 'Bassein', 'valamu']","['lavuaari', 'pesuvati', 'pesuallas', 'käsienpesuallas', 'amme', 'Lavuaari', 'viemäriallas']","['lavabo', 'wasbak', 'wastafel', 'waskom', 'Lavabo', 'bassin', 'bekken', 'gootsteen', 'afwasbak']",['चिलमची'],"['lavello', 'lavandino', 'acquaio', 'lavabo', 'bacino', 'toilette']",basin
"['baignade', 'salle de bain', 'salle de bains', 'Modèle:Autres langues', 'bain', 'toilette', 'cabinet de toilette']","['Badekultur', 'Badestube', 'Badezimmer', 'Bad', 'Vorlage:Andere Sprachen', 'Abtritt', 'Örtchen', 'WC', 'Toilette', 'Abort', 'stilles Örtchen', 'Klo', 'Lokus', 'Klosett']","['ванна', 'купание', 'ванная', 'ба́ня', 'ванная комната', 'ва́нная', 'туалет']","['washup', 'bathing', 'bath', 'restroom', 'bathroom', 'lav', 'privy', 'john', 'loo', 'can', 'washroom', 'toilet', 'lavatory', 'bog', 'water closet', 'WC']","['洗澡', '浴室', '衛生間', '卫生间', '厕所', '廁所']","['baño', 'ablución', 'lavatorio', 'cuarto de baño', 'lavabo', 'aseo', 'excusado', 'inodoro', 'retrete', 'lav', 'lata', 'váter']","['入浴', 'バスルーム', '浴室', '風呂場', '浴場', 'てあらい', 'べんじょ', '化粧室', '手洗い', 'かわや', 'はばかり', 'トイレ', '憚り', '厠', '便所', 'けしょうしつ']","['목욕', '화장실', '목욕실', '욕실']","['vannituba', 'tualett', 'Tualett']","['Kylpeminen', 'kylpeminen', 'peseytyminen', 'kylpyhuone', 'kylpylä', 'käymälä', 'toiletti', 'vessa', 'pesuhuone']","['baden', 'zwemmen', 'wasgelegenheid', 'badkamer', 'badkuip', 'bad', 'privaat', 'toilet', 'wc', 'closet', 'wc-pot', 'retirade', 'herentoilet', 'toiletpot', 'schijthuis', 'gemak', 'kakdoos', 'plee', 'poepdoos', 'doos', 'bestekamer']","['स्नान', 'बाथरूम', 'स्नानागार', 'गुसलख़ाना', 'ग़ुसलख़ाना', 'स्नानघर']","['bagno', 'abluzione', 'stanza da bagno', 'ritirata', 'toilette', 'latrina', 'cesso', 'gabinetto', 'cacatoio', 'toletta']",bath
