fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
['livre'],['Buch'],['книга'],['book'],"['書', '书籍', '書籍', '书', '圖書', '图书']",['libro'],['本'],['책'],['raamat'],['kirja'],"['boek', 'boeken', 'album', 'boekwerk', 'boekje']","['किताब', 'पुस्तक']",['libro'],book
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],['云'],"['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']","['nube', 'nuvola', 'nembo']",cloud
"['sac', 'sac plastique', 'sac de caisse', 'sac en papier']","['Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte']","['сумка', 'паке́т', 'кулёк', 'Бумажный пакет', 'су́мка', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к']","['sack', 'bag', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag']","['張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋']","['bolso', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra']","['袋', '鞄', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋']","['가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방']","['Kott', 'Paberkott', 'kott', 'kilekott']","['laukku', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki']","['tas', 'zak', 'papieren tas', 'buil']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले']","['sacchetto', 'sacco', 'borsa', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta']",bag
"['samedi', 'Samedi', 'territoire', 'terre ferme', 'plancher des vaches', 'terre', 'sol']","['Sonnabend', 'Samstag', 'Satertag', 'Sabbat', 'Land', 'Festland', 'Grund', 'Erdboden', 'Boden', 'Erde', 'Länder', 'fester Boden', 'Blumenerde']","['суббота', 'суббо́та', 'земля', 'суша', 'су́ша', 'земля́', 'зе́мли', 'грунт']","['Saturday', 'Sat', 'Sabbatum', 'land', 'ground', 'terra firma', 'earth', 'solid ground', 'dry land', 'land mass', 'soil', 'dirt']","['星期六', '周六', '礼拜六', '禮拜六', '陸地', '地', '土地', '陆地', '地面', '泥土', '土壤', '壤']","['sábado', 'sáb', 'tierra', 'territorio', 'terreno', 'tierra firme', 'suelo']","['土', '土曜日', '土曜', '地', '地面', '土地', '大地', '陸地']","['토요일', '땅', '육지', '륙지', '대지', '뭍', '토지']","['laupäev', 'maa', 'maismaa']","['lauantai', 'sapatti', 'la', 'maa', 'maanpinta', 'kuiva maa', 'sora', 'irtomaa', 'multa']","['zaterdag', 'land', 'aarde', 'droge land', 'vaste grond', 'grond', 'bodem', 'vasteland', 'teelaarde', 'omgeving']","['शनिवार', 'शनि', 'सनीचर', 'सरजमीन', 'धरती', 'भूतल', 'ज़मीन', 'भूमि']","['sabato', 'territorio', 'terra', 'terraferma', 'superficie', 'suolo', 'terra ferma', 'continente', 'terriccio', 'terreno']",soil
"['montagne', 'mine']","['Berg', 'Bergwerk', 'Mine']","['гора', 'шахта']","['mountain', 'mount', 'mine']","['山脉', '高山', '大山', '开矿', '采掘']","['montaña', 'monte', 'mina']","['山', '山岳']",['산'],"['mägi', 'kaevandus']","['vuori', 'kaivos']","['berg', 'mijn', 'groeve']","['पहाड़', 'पर्वत']","['montagna', 'monte', 'miniera']",mountain
"['textile', 'étoffe', 'tissu']","['Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']","['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']","['fabric', 'cloth', 'textile', 'material']","['紡織', '布料', '纺织', '织物', '台布', '衣料', '纺织品', '織物']","['textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']","['布', '織物']","['직물', '옷감']","['tekstiil', 'riie', 'kangas']","['tekstiili', 'kangas', 'kudos', 'materiaali']","['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']","['कपड़ा', 'वस्त्र']","['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']",cloth
"['psyché', 'esprit', 'noûs', 'Noûs', 'cerveau', 'tête', 'cœur', 'centre']","['Verstand', 'Nous', 'Psyche', 'Geist', 'Wahrnehmung', 'Kern']","['Нус', 'ра́зум', 'психика', 'ум', 'ядро́', 'середи́на', 'центр', 'сердцеви́на']","['head', 'brain', 'mind', 'nous', 'psyche', 'Nous', 'core']","['头脑', '脑海', '头', '脑袋', '精神', '心智', '心靈', '智性', '心灵', '核心']","['mente', 'psique', 'Mente', 'Nous', 'nous', 'cabeza', 'cerebro', 'corazón']","['心', 'ヌース', '念頭', 'プシュケー', '中心', '芯']","['누스', '프시케', '마음']","['nous', 'psüühika', 'Psüühika', 'Nous', 'vaim', 'Vaim']","['Nous', 'Psyyke', 'mieli', 'pää', 'psyyke', 'nous', 'järki', 'älli', 'keskusta', 'sisus']","['brein', 'verstand', 'psyche', 'Nous', 'geest', 'nous', 'denkvermogen', 'rede', 'kern']",['मन'],"['testare', 'pensiero', 'mente', 'cervello', 'Intelletto cosmico', 'psiche', 'nous', 'testa', 'psicologia', 'anima', 'nucleo']",heart
"['main', 'patte', 'bras', 'arrière-bras', 'membre supérieur libre', 'poignée', 'manche', 'levier', 'barre de manœuvre', 'tirette', 'manette', 'mancheron', 'anse', 'châsse', 'méthode', 'procédé', 'manière', 'coup', 'mouvement', 'mode', 'façon']","['Hand', 'Arm', 'Oberarm', 'Hinterarm', 'freie obere Extremität', 'Henkel', 'Griff', 'Schaft', 'Stiel', 'Verfahrensweise', 'Methode', 'Vorgehensweise', 'Art und Weise', 'Verfahren', 'Zug', 'Spielzug', 'Weg']","['рука', 'кисть', 'свободная верхняя конечность', 'плечо', 'плечо́', 'рука за исключением запястья', 'рукоятка', 'ру́чка', 'рукоя́ть', 'рукоя́тка', 'топори́ще', 'черено́к', 'метод', 'приём', 'ме́тод', 'спо́соб', 'ход']","['hand', 'manus', 'mitt', 'paw', 'Manus', 'arm', 'upper arm', 'free upper limb', 'handle', 'grip', 'hold', 'handgrip', 'process', 'way', 'method', 'movement', 'motion', 'move', 'manner', 'fashion', 'style', 'mode']","['前足', '前肢骨', '手臂', '臂', '大臂', '上臂', '肱', '胳膊', '胳臂', '臂膀', '柄', '把手', '把柄', '手柄', '方法', '方式', '做法', '法', '办法', '下']","['mano', 'palma', 'zarpa', 'manus', 'pata', 'brazo', 'brazo y mano', 'braco', 'jarrete', 'braceto', 'asa', 'mango', 'oreja', 'tirador', 'manija', 'manilla', 'tomadero', 'cogedero', 'manejar', 'asidero', 'empuñadura', 'asimiento', 'agarradera', 'método', 'jugada', 'movimiento', 'traslado', 'desplazamiento', 'modo', 'manera', 'vía', 'guisa', 'moda', 'forma', 'estilo', 'paso']","['手', 'マヌス', '腕', '二の腕', '上腕', '上膊', '自由上肢', '取っ手', 'ハンドル', '方法', '方式']","['손', '팔', '손잡이', '방법', '방식']","['labakäsi', 'käsivars', 'käsi', 'Käsivars', 'Õlavars', 'õlavars', 'käepide', 'Käepide', 'meetod', 'viis', 'käik']","['käsi', 'jalka', 'käpälä', 'manus', 'olkavarsi', 'käsivarsi', 'Olkavarsi', 'ote', 'kahva', 'kädensija', 'otin', 'sanka', 'ripa', 'menetelmä', 'metodi', 'siirto', 'liikahdus', 'liike', 'liikkuminen', 'tapa', 'tyyli', 'teko']","['klauw', 'hand', 'poot', 'klauwen', 'klavier', 'fik', 'vlerken', 'kluif', 'tengels', 'knijper', 'klavieren', 'fikken', 'arm', 'opperarm', 'bovenarm', 'oor', 'handvat', 'heft', 'hengsel', 'handgreep', 'handel', 'kruk', 'methode', 'methodiek', 'handelwijze', 'optreden', 'systeem', 'handelwijs', 'systematiek', 'zet', 'transpositie', 'verplaatsing', 'translocatie', 'omzetting', 'wijze', 'manier', 'stijl', 'wijs', 'trant', 'modus', 'mode', 'aanpak']","['हाथ', 'बाज़ू', 'बांह', 'बाँह', 'दस्ता', 'हत्था', 'तरीक़ा', 'विधि', 'तरह']","['mano', 'braccio', 'arto superiore libero', 'arto superiore', 'manico', 'impugnatura', 'presa', 'ansa', 'maniglia', 'manopola', 'metodo', 'procedimento', 'maniera', 'sistema', 'mossa', 'spostamento', 'movimento', 'modo', 'stile', 'guisa', 'forma', 'modalità', 'impronta', 'passo']",hand
"['Soleil', 'soleil', 'jour', 'jour solaire', 'dimanche', 'jour du Seigneur', 'Dimanche']","['Sonne', 'Tag', 'Solartag', 'Sonnentag', 'Sonntag', 'Herrentag', 'Tag des Herrn', 'Herrntag']","['Солнце', 'Со́лнце', 'со́лнечные су́тки', 'сутки', 'воскресенье', 'неде́ля', 'воскресе́нье', 'День Господень']","['sun', 'Sun', 'twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day', 'day', 'Sunday', ""Lord's Day"", 'Dominicus']","['日头', '太阳', '日頭', '太陽', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日', '星期天', '周日', '主日', '星期日', '礼拜天', '禮拜日', '礼拜日', '禮拜天', '朝圣日']","['Sol', 'sol', 'día', 'día solar', 'domingo', 'Día del Señor', 'día del Senyor', 'dom']","['日', 'ひ', '太陽', '太陽日', '日曜日', '主日', '日曜']","['태양', '해', '일', '날', '일요일', '주일']","['Päike', 'päike', 'ööpäev', 'pühapäev']","['Aurinko', 'aurinko', 'vuorokausi', 'aurinkovuorokausi', 'päivä', 'sunnuntai', 'lepopäivä', 'pyhäpäivä', 'su', 'Dominicus']","['zon', 'koperen ploert', 'Zon', 'zonnetje', 'dag', 'zonnedag', 'zondag']","['सूरज', 'दिनकर', 'भानु', 'आदित्य', 'ख़्वुरशेद', 'खुरशीद', 'सूर्य', 'शम्स', 'रवि', 'दिन', 'रविवार', 'आदित्यवार', 'इतवार', 'एतवार', 'सूर्यवार', 'भानुवार']","['sole', 'Sole', 'giorno', ""ventiquattr'ore"", 'domenica']",day
['étoile'],"['Stern', 'Sonne', 'Fixstern']","['звезда', 'звезда́']",['star'],"['恒星', '恆星', '母恒星', '星章', '星标', '星形', '星形物']","['estrella', 'astro']","['星', '恒星', '母恒星']","['별', '항성', '외계 행성 주인별']","['täht', 'Täht']","['tähti', 'kiintotähti']","['zon', 'ster', 'sterretje']",['तारा'],"['stella', 'astro', 'sole']",star
