fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires', 'corne', 'coin', 'coin de rue']","['Winkel', 'Supplementwinkel', 'Horn', 'Ecke', 'Straßenecke']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы', 'рог', 'у́гол у́лицы', 'у́гол']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles', 'horn', 'Weapon', 'street corner', 'corner', 'turning point', 'streetcorner']","['對頂角', '補角', '余角', '邻角', '鄰角', '洞角', '犄角', '街角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'cuerno', 'Cuerno', 'esquina', 'chaflán', 'esquina de calle', 'rincón']","['角', '角度', '洞角', 'コーナー', '街角']","['맞꼭지각', '각도', '뿔', '가각', '모퉁이', '코너', '길모퉁이']","['nurk', 'Nurk', 'Sarved', 'sarved']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma', 'sarvi', 'kadunkulma', 'kääntymiskohta', 'nurkka']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek', 'hoorn', 'Hoorn', 'hoorntje', 'horen', 'straathoek']","['कोण', 'सींग', 'नुक्कड़']","['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice', 'corno', 'cantonata', 'angolo della strada']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
['arc'],['Bogen'],"['а́рка', 'арка', 'свод']",['arch'],"['拱門', '拱', '拱券', '拱门', '拱形结构', '拱形物']",['arco'],['アーチ'],['아치'],"['Kaar', 'kaar']","['holvikaari', 'Kaari', 'kaari', 'holvi']",['boog'],['चाप'],"['arco', 'fornice', 'arcata']",arch
"['arme', 'armes', ""système d'armes""]","['Waffe', 'Arm']","['оружие', 'ору́жие']","['weapon', 'weapon system', 'arm', 'weapons system', 'munition', 'implements of war', 'weaponry', 'arms']","['兵器', '武装']","['arma', 'armas', 'armamento']","['武器', '兵器']","['무기', '병기', '전쟁무기']","['relv', 'Relv']","['ase', 'astalo', 'aseet', 'aseistus', 'sotatarvike', 'asejärjestelmä', 'sotatarvikkeet']","['wapen', 'gevechtswapen', 'strijdmiddel', 'ammunitie', 'munitie']","['हथियार', 'शस्त्र', 'आयुध']","['arma', 'ordigno', 'armi', 'armamento']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes', 'armée de terre', 'Armée régulière', 'armée régulière']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie', 'konstitutionelle Armee', 'Heer', 'Landstreitkräfte', 'Konstitutionelle Armee']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́', 'армия', 'регулярная армия', 'во́йско', 'сухопутные войска']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine', 'ground forces', 'army', 'regular army']","['軍事', '武装部队', '武裝部隊', '武装力量', '军队', '陆军', '正规军', '陸軍', '陆军军队', '军']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas', 'ejército de tierra', 'ejército regular', 'Ejército de Tierra']","['軍隊', '軍事', '軍', '正規軍', '陸軍']","['군사', '군대', '육군', '정규군', '륙군']","['relvajõud', 'sõjavägi', 'regulaarvägi', 'Armee', 'maavägi', 'Regulaarvägi', 'armee']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat', 'maavoimat', 'vakinainen armeija']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée', 'reguliere krijgsmacht', 'heer']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज', 'आर्मी', 'थल सेना', 'सैन्य', 'थलसेना']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito', 'forze di terra', 'armata', 'falange', 'milizia']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['baby', 'infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['lavabo', 'évier']","['Waschbecken', 'Waschschüssel', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['рукомойник', 'ра́ковина', 'умыва́льный таз', 'Рукомойник', 'умыва́льник', 'рукомо́йник', 'таз', 'раковина', 'Раковина', 'мо́йка']","['washbowl', 'lavabo', 'washbasin', 'handbasin', 'wash-hand basin', 'sink', 'basin', 'kitchen sink']","['脸盆', '臉盆', '水槽', '盥洗盆', '洗手盆']","['Lavabo', 'lavabo', 'pila', 'lavatorio', 'aljofaina', 'palangana', 'jofaina', 'lavamanos', 'fregadero']","['洗面器', '洗面台', '聖水盤', '流し台', 'シンク', 'キッチンシンク', '流し']","['세면기', '대야', '세수대야', '개수대', '싱크', '싱크대']","['kraanikauss', 'bassein', 'Bassein', 'valamu']","['lavuaari', 'pesuvati', 'pesuallas', 'käsienpesuallas', 'amme', 'Lavuaari', 'viemäriallas']","['lavabo', 'wasbak', 'wastafel', 'waskom', 'Lavabo', 'bassin', 'bekken', 'gootsteen', 'afwasbak']",['चिलमची'],"['lavello', 'lavandino', 'acquaio', 'lavabo', 'bacino', 'toilette']",basin
