word_original,synset,senses,definitions
angle,bn:00004117n,"['맞꼭지각', '각도']","['물건의 대가리나 겉쪽에 오뚝 솟은 부분.', '기하학에서 맞꼭지각이란 교차하는 두 직선이 한 점에서 만날 때 생기는 한 쌍의 교각 중 서로 이웃하지 않는 것을 뜻한다.', '기하학에서, 각은 같은 끝점을 갖는 두 반직선이 이루는 도형이다.']"
ant,bn:00004458n,['개미'],"['개미는 개밋과에 속하는 진사회성 곤충의 총칭으로, 말벌상과, 벌과 더불어 벌목에 속한다.', '개미과에 속하는 진사회성 곤충의 총칭']"
apple,bn:00005054n,"['사과', '사과나무']","['‘주로 가꾸는 식물에서 나는 먹을 수 있는 열매’을 먹을거리로 일컫는 말.', '{다른 뜻} 사과는 사과나무의 열매로, 세계적으로 널리 재배되는 열매 가운데 하나다.', '사과나무의 열매']"
arch,bn:00005387n,['아치'],['아치는 개구부를 확보하며 상당한 하중을 압축 응력으로 지지할 수 있도록 만든 곡선 형태의 구조물이다.']
arm,bn:00005704n,"['무기', '병기', '전쟁무기']","['전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.', '무기는 인류가 군집 생활을 하면서 야생 동물로부터 신변을 보호하기 위한 수단으로 발명되었을 뿐만 아니라 삶을 꾸려가기 위한 수단인 사냥에 필요한 도구로 사용되었다.']"
army,bn:00005732n,"['군사', '군대']","['‘군사에 관한 일을 맡아보는 모든 기관’의 준말.', '군대, 군비, 전쟁 따위에 관한 일.', '어떤 목적을 가지고 짜인 무리의 한 가지.', '군사는 넓은 의미로는 군대의 운용에 관한 전반적인 사항들을 가리키는 말이며, 좁은 의미로는 군인이나 병역을 가리키는 말이다.', '군대는 주로 국가나 지역의 방위 및 전투의 수행을 목적으로 하여 구성된 무장 조직이다.', '국가에 의해 운영되는 국토 방어와 외적 격퇴를 목적으로 하는 단체', '주로 국가나 지역의 방위 및 전투의 수행을 목적으로 하여 구성된 무장 조직']"
baby,bn:00007630n,"['아기', '유아']","['나이가 적은 아이.', '아기 또는 영아는 인간 발달 단계 중 가장 어린 시절로, 출생 직후부터 만 1세까지 일컫는다.', '인간 발달 단계 중 가장 어린 시절']"
bag,bn:00007925n,['손가방'],"['손가방 또는 핸드백은 손에 들거나 어깨에 메는 작은 가방이다.', '손가방(문화어: 들가방) 또는 핸드백(Handbag)은 손에 들거나 어깨에 메는 작은 가방이다. 여러 재료로 만드며, 고급은 가죽으로 만들지만, 최근에는 동물보호가 활발해 지면서 인공 가죽도 인기다.']"
ball,bn:00008804n,['야구'],"['야구는 두 팀이 야구공과 야구 방망이, 야구 글러브를 사용해 승패를 겨루는 구기 종목이다.', '각각 아홉 또는 열 명으로 구성된 두 팀이 방망이와 공을 사용해 겨루는 구기 종목']"
band,bn:00008287n,"['가락지', '반지']","['반지는 손가락에 끼는 장신구이다.', '손가락에 끼우는 고리 모양 장신구']"
basin,bn:00071766n,"['개수대', '싱크', '세면기', '싱크대']",['세면기는 사람이 얼굴과 손을 씻는 물을 담는 그릇이다.']
basket,bn:00008872n,['바구니'],"['버들채나 싸리채 따위로 함처럼 만들어 종이로 바른 그릇. 옷이나 다른 물건을 넣어 두는 데 쓴다 + 곡식 따위를 담기 위하여 짚으로 거칠게 엮어서 만든 제구의 한 가지.', '바구니는 전통적으로 뻣뻣한 섬유로 만들어진 그릇을 말한다.']"
bath,bn:00008995n,"['화장실', '목욕실', '욕실']","['집안에 사람이 거처하거나 일을 하기 위하여 벽 따위로 막아 만든 칸.', '욕실은 손을 세척하거나, 목욕이나 샤워를 하는 공간이다.']"
bed,bn:00009472n,"['침대', '잠자리']","['침대는 사람이 취침할 수 있도록 만든 가구를 뜻한다.', '매트리스를 올려 그 위에서 잠을 자거나 휴식을 취할 때 누울 수 있도록 제작한 가구']"
