fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Winkel', 'Supplementwinkel']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
['arc'],['Bogen'],"['а́рка', 'арка', 'свод']",['arch'],"['拱門', '拱', '拱券', '拱门', '拱形结构', '拱形物']",['arco'],['アーチ'],['아치'],"['Kaar', 'kaar']","['holvikaari', 'Kaari', 'kaari', 'holvi']",['boog'],['चाप'],"['arco', 'fornice', 'arcata']",arch
"['arme', 'armes', ""système d'armes"", 'armement']","['Waffe', 'Arm', 'Armeestärke']","['оружие', 'ору́жие']","['weapon', 'weapon system', 'arm', 'weapons system', 'munition', 'implements of war', 'weaponry', 'arms', 'armament']","['兵器', '武器', '武装', '军火', '火力装备', '武器装备']","['arma', 'armas', 'armamento']","['武器', '兵器']","['무기', '병기', '전쟁무기']","['relv', 'Relv']","['ase', 'astalo', 'aseet', 'aseistus', 'sotatarvike', 'asejärjestelmä', 'sotatarvikkeet']","['wapen', 'gevechtswapen', 'strijdmiddel', 'ammunitie', 'munitie', 'bewapening', 'oorlogsmaterieel', 'wapentuig', 'krijgsmaterieel', 'oorlogstuig', 'wapening', 'oorlogsmateriaal']","['हथियार', 'शस्त्र', 'आयुध']","['arma', 'ordigno', 'armi', 'armamento']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes', 'soldat', 'militaire']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie', 'Soldat', 'Kämpfer']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́', 'солдат']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine', 'soldier']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队', '士兵（軍銜）', '士兵', '兵', '军人', '战士']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas', 'soldado']","['軍隊', '軍事', '軍', '兵', '兵士']","['군사', '군대', '병', '병사']","['relvajõud', 'sõjavägi', 'sõdur']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat', 'sotilas', 'soturi', 'työläinen']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée', 'soldaat', 'soldate', 'heilsoldate', 'heilsoldaat']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito', 'soldato', 'milite', 'armato']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['baby', 'infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['lavabo', 'évier']","['Waschbecken', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['таз', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['sink', 'basin', 'kitchen sink']","['水槽', '盥洗盆', '洗手盆']","['lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['洗面器', '流し台', 'シンク', 'キッチンシンク', '洗面台', '流し']","['개수대', '싱크', '세면기', '싱크대']","['kraanikauss', 'bassein', 'Bassein', 'valamu']","['amme', 'pesuallas', 'lavuaari', 'Lavuaari', 'viemäriallas']","['bassin', 'wastafel', 'bekken', 'gootsteen', 'afwasbak']",['चिलमची'],"['lavello', 'lavabo', 'lavandino', 'bacino', 'acquaio', 'toilette']",basin
