fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires', 'coin', 'coin de rue']","['Winkel', 'Supplementwinkel', 'Ecke', 'Straßenecke']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы', 'у́гол у́лицы', 'у́гол']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles', 'street corner', 'corner', 'turning point', 'streetcorner']","['角', '對頂角', '補角', '余角', '邻角', '鄰角', '街角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'esquina', 'chaflán', 'esquina de calle', 'rincón']","['角', '角度', 'コーナー', '街角']","['맞꼭지각', '각도', '가각', '모퉁이', '코너', '길모퉁이']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma', 'kadunkulma', 'kääntymiskohta', 'nurkka']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek', 'straathoek']","['कोण', 'नुक्कड़']","['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice', 'cantonata', 'angolo della strada']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
"['arc', 'arc à flèche', 'arc et flèche', 'arc électrique', 'étincelle électrique', 'décharge électrique', 'Arc électrique', 'arc à flèches']","['Pfeil und Bogen', 'Bogen', 'Funke', 'Lichtbogen', 'elektrische Lawinenentladung']","['лук', 'лук и стре́лы', 'лук со стрелами', 'электрический разряд', 'Электрический разряд', 'искровой разряд', 'искра́', 'электрическая дуга', 'и́скра']","['bow and arrow', 'bow', 'electric arc', 'discharge', 'spark', 'arc', 'electric discharge', 'electric spark']","['弓', '弓箭', '弓矢', '火花', '电弧', '放電']","['arco y flecha', 'arco', 'chispa', 'arco eléctrico', 'descarga eléctrica', 'chispa eléctrica', 'centella', 'arco voltaico']","['弓矢', '弓', '弓箭', '電弧', '電気スパーク', '放電']","['궁시', '활', '궁전', '아크 방전', '스파크', '전기 불꽃', '궁']","['vibu', 'Sädelahendus', 'Kaarlahendus', 'elektrilahendus', 'kaarlahendus', 'Elektrilahendus', 'sädelahendus']","['jousi', 'jousi ja nuoli', 'jousipyssy', 'sähkökipinä', 'valokaari', 'Valokaari', 'kipinä', 'sähköpurkaus', 'sähkövalokaari', 'purkaus', 'kaari']","['boog', 'boog en pijlen', 'pijl en boog', 'schietboog', 'vonk', 'vlamboog']","['धनुष', 'धनुष बाण', 'वैद्युत आर्क', 'कमान']","['arco', 'arco e freccie', 'arco e freccia', 'scintilla', 'scintilla elettrica', 'ionizzazione dei gas', 'Ionizzazione dei gas', 'scarica elettrica']",arch
"['blasonnement', 'blason', 'armes', 'armoiries', 'arme', ""système d'armes""]","['Wappenbeschreibung', 'Wappen', 'Blasonierung', 'Staatswappen', 'Reichswappen', 'Wappenschild', 'Waffe', 'Arm']","['геральдический язык', 'герб', 'геральди́ческий язы́к', 'описа́ние герба́', 'оружие', 'ору́жие']","['coat of arms', 'blazon', 'arms', 'blazonry', 'weapon', 'weapon system', 'arm', 'weapons system', 'munition', 'implements of war', 'weaponry']","['紋章', '國徽', '纹章', '国徽', '纹盾', '盾徽', '兵器', '武器', '武装']","['blasón', 'blasonamiento', 'escudo de armas', 'escudo', 'arma', 'armas', 'armamento']","['国章', '紋章記述', '紋章', '武器', '兵器']","['문장', '국장', '무기', '병기', '전쟁무기']","['vapikirjeldus', 'vapp', 'relv', 'Relv']","['vaakuna', 'heraldinen selitys', 'vaakunaselitys', 'ase', 'astalo', 'aseet', 'aseistus', 'sotatarvike', 'asejärjestelmä', 'sotatarvikkeet']","['wapen', 'blazonry', 'heraldisch wapen', 'rijkswapen', 'blazoen', 'staatswapen', 'wapenschild', 'gevechtswapen', 'strijdmiddel', 'ammunitie', 'munitie']","['कुल चिन्ह', 'राज्य - चिह्न', 'हथियार', 'शस्त्र', 'आयुध']","['stemma', 'blasonatura', 'blasone', 'arma', 'scudo', 'ordigno', 'armi', 'armamento']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes', 'armée de terre', 'Armée régulière', 'armée régulière']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie', 'konstitutionelle Armee', 'Heer', 'Landstreitkräfte', 'Konstitutionelle Armee']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́', 'армия', 'регулярная армия', 'во́йско', 'сухопутные войска']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine', 'ground forces', 'army', 'regular army']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队', '陆军', '正规军', '陸軍', '陆军军队', '军']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas', 'ejército de tierra', 'ejército regular', 'Ejército de Tierra']","['軍隊', '軍事', '軍', '正規軍', '陸軍']","['군사', '군대', '육군', '정규군', '륙군']","['relvajõud', 'sõjavägi', 'regulaarvägi', 'Armee', 'maavägi', 'Regulaarvägi', 'armee']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat', 'maavoimat', 'vakinainen armeija']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée', 'reguliere krijgsmacht', 'heer']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज', 'आर्मी', 'थल सेना', 'सैन्य', 'थलसेना']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito', 'forze di terra', 'armata', 'falange', 'milizia']",army
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'lattante', 'poppante']",baby
"['sac à main', 'porte-monnaie', 'tasse', 'verre', 'coupe', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier']","['Handtasche', 'Tasse', 'Trinkglas', 'Trinkschale', 'Pokal', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte']","['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка', 'Стеклянный стакан', 'чашка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к']","['purse', 'bag', 'handbag', 'pocketbook', 'cup', 'standing cup', 'cup with stem', 'drinking glass', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag']","['皮包', '手袋', '手提包', '钱包', '杯子', '玻璃容器', '饮料玻璃', '杯', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋']","['bolso', 'cartera', 'bulto', 'bolsa', 'taza', 'copa', 'vaso', 'taza de pié', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra']","['ハンドバッグ', '鞄', 'カップ', 'コップ', 'グラス', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋']","['손가방', '컵', '잔', '유리잔', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방']","['käekott', 'Klaas', 'Tass', 'tass', 'klaas', 'Kott', 'Paberkott', 'kott', 'kilekott']","['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'kuppi', 'juomalasi', 'juomapikari', 'Juomalasi', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki']","['tas', 'handtas', 'Handtas', 'tasje', 'kop', 'drinkglas', 'bokaal', 'beker op voet', 'bak', 'beker', 'zak', 'papieren tas', 'buil']","['कप', 'प्याला', 'गिलास', 'थैला', 'बोरा', 'बोरी', 'कागज के थैले']","['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'tazza', 'coppa', 'bicchiere', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta']",bag
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['ceinture périphérique', 'périphérique', 'déviation', 'contournement', 'rocade', 'anneau', 'bague']","['Umgehungsstraße', 'Ortsumgehung', 'Ringstraße', 'Fingerring', 'Fingerreif', 'Reif', 'Reifen']","['кольцева́я', 'кольцевая автомобильная дорога', 'Объездное шоссе', 'окружна́я доро́га', 'обходна́я доро́га', 'объездное шоссе', 'кольцева́я доро́га', 'Кольцевая автомобильная дорога', 'окружна́я', 'обходно́й путь', 'кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['bypass', 'ring road', 'ringway', 'beltway', 'band']","['环路', '繞行道路', '環路', '环形公路', '环城高速公路', '环形路', '指環', '戒指', '指环']","['circunvalación', 'carretera de circunvalación', 'variante', 'disyuntor', 'ronda', 'anillo', 'alianza', 'sortija']","['迂回路', '放射線・環状線', 'バイパス道路', 'バイパス', '環状線', '指輪']","['순환선', '바이패스 도로', '가락지', '반지']",['sõrmus'],"['Ohikulkutie', 'ohikulkutie', 'kehätie', 'ohitustie', 'sormus']","['ring', 'Rocade', 'sluipweg', 'ringweg', 'rondweg', 'wegomleiding']","['बाह्यमार्ग', 'अँगूठी', 'छल्ला', 'अंगूठी']","['circonvallazione', 'tangenziale', 'anello']",band
