word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
angle,bn:00004117n,"['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['Смежные углы — это два угла, у которых одна сторона общая, а две другие дополняют друг друга до прямой.', 'Дополни́тельные углы́ — это пара углов, которые дополняют друг друга до 90 градусов.', 'У́гол — геометрическая фигура, образованная двумя лучами, выходящими из одной точки.', 'Неограниченная геометрическая фигура, образованная двумя лучами, выходящими из одной точки']","[('___ — это два угла, у которых одна сторона общая, а две другие дополняют друг друга до прямой.', ('Смежные углы', 'Дополнительные углы', 'вертикальные углы', 'угол')), ('___ — это два угла, у которых одна сторона общая, а две другие дополняют друг друга до прямой.', ('смежные углы', 'Дополнительные углы', 'вертикальные углы', 'угол'))]","[('___ — это два угла, у которых одна сторона общая, а две другие дополняют друг друга до прямой.', ('Смежные углы', 'Дополнительные углы', 'вертикальные углы', 'угол')), ('___ — это два угла, у которых одна сторона общая, а две другие дополняют друг друга до прямой.', ('смежные углы', 'Дополнительные углы', 'вертикальные углы', 'угол'))]","['Неограниченная геометрическая фигура, образованная двумя лучами, выходящими из одной точки', 'Дополни́тельные углы́ — это пара углов, которые дополняют друг друга до 90 градусов.', 'У́гол — геометрическая фигура, образованная двумя лучами, выходящими из одной точки.']"
ant,bn:00004458n,"['муравей', 'муравьи']","['Муравьи́ (лат.', 'Семейство насекомых из надсемейства муравьиных отряда перепончатокрылых']","[('___́ (лат.', ('муравьи', 'муравей'))]","[('Семейство насекомых из надсемейства ___ных отряда перепончатокрылых', ('муравьи', 'муравей')), ('___́ (лат.', ('муравьи', 'муравей'))]",[]
apple,bn:00005054n,['яблоко'],"['Я́блоко — сочный плод яблони, который употребляется в пищу в свежем и запеченном виде, служит сырьём в кулинарии и для приготовления напитков.', 'Плод яблони']",[],[],"['Я́блоко — сочный плод яблони, который употребляется в пищу в свежем и запеченном виде, служит сырьём в кулинарии и для приготовления напитков.', 'Плод яблони']"
arch,bn:00005387n,"['а́рка', 'арка', 'свод']","['А́рка', 'архитектурный элемент']","[('___', ('а́рка', 'арка', 'свод'))]","[('___', ('а́рка', 'арка', 'свод'))]",['архитектурный элемент']
arm,bn:00005704n,"['оружие', 'ору́жие']","['Оружие — название устройств и предметов, конструктивно предназначенных для поражения живой цели, а также подачи сигналов.', 'Средство нанесения ущерба противнику']","[('___ — название устройств и предметов, конструктивно предназначенных для поражения живой цели, а также подачи сигналов.', ('оружие', 'ору́жие'))]","[('___ — название устройств и предметов, конструктивно предназначенных для поражения живой цели, а также подачи сигналов.', ('оружие', 'ору́жие'))]",['Средство нанесения ущерба противнику']
army,bn:00005732n,"['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́']","['Вооружённые си́лы — главная вооружённая организация государства или группы государств, предназначенная для обеспечения военной безопасности, защиты государственных интересов при агрессии и ведении войны, недопущения или ликвидации угрозы миру между государствами и безопасности.', 'Воо\xadружённая ор\xadга\xadни\xadза\xadция го\xadсу\xadдар\xadст\xadва или груп\xadпы го\xadсу\xadдарств', 'Вооружённая организация государства или груп\xadпы го\xadсу\xadдарств, предназначенная для защиты в случае войны']","[('___ — главная вооружённая организация государства или группы государств, предназначенная для обеспечения военной безопасности, защиты государственных интересов при агрессии и ведении войны, недопущения или ликвидации угрозы миру между государствами и безопасности.', ('вооружённые си́лы', 'вооруженные силы', 'вооружённые силы', 'войска́', 'а́рмия'))]","[('___ — главная вооружённая организация государства или группы государств, предназначенная для обеспечения военной безопасности, защиты государственных интересов при агрессии и ведении войны, недопущения или ликвидации угрозы миру между государствами и безопасности.', ('вооружённые си́лы', 'вооруженные силы', 'вооружённые силы', 'войска́', 'а́рмия'))]","['Вооружённая организация государства или груп\xadпы го\xadсу\xadдарств, предназначенная для защиты в случае войны', 'Воо\xadружённая ор\xadга\xadни\xadза\xadция го\xadсу\xadдар\xadст\xadва или груп\xadпы го\xadсу\xadдарств']"
baby,bn:00007630n,"['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['Младе́нец, грудной ребёнок — ребёнок в возрасте от рождения до года.']","[('___, грудной ребёнок — ребёнок в возрасте от рождения до года.', ('младе́нец', 'младенец', 'ребенок', 'малютка', 'крошка', 'малыш', 'дитя́', 'дитя')), ('Младе́нец, грудной ___ — ___ в возрасте от рождения до года.', ('ребёнок', 'младенец', 'ребенок', 'малютка', 'крошка', 'малыш', 'дитя́', 'дитя'))]","[('___, грудной ребёнок — ребёнок в возрасте от рождения до года.', ('младе́нец', 'младенец', 'ребенок', 'малютка', 'крошка', 'малыш', 'дитя́', 'дитя')), ('Младе́нец, грудной ___ — ___ в возрасте от рождения до года.', ('ребёнок', 'младенец', 'ребенок', 'малютка', 'крошка', 'малыш', 'дитя́', 'дитя'))]",[]
bag,bn:00007925n,"['сумочка', 'ридикюль', 'сумка', 'су́мочка', 'су́мка']","['Су́мка — изделие, мягкая, а также твёрдая ёмкость для переноски предметов в руках или на плече.', 'Маленькая сумка для переноса личных вещей в руке или на плече']","[('___ — изделие, мягкая, а также твёрдая ёмкость для переноски предметов в руках или на плече.', ('су́мка', 'ридикюль', 'су́мочка', 'сумочка', 'сумка')), ('Маленькая ___ для переноса личных вещей в руке или на плече', ('сумка', 'ридикюль', 'су́мочка', 'сумочка', 'су́мка'))]","[('___ — изделие, мягкая, а также твёрдая ёмкость для переноски предметов в руках или на плече.', ('су́мка', 'ридикюль', 'су́мочка', 'сумочка', 'сумка')), ('Маленькая ___ для переноса личных вещей в руке или на плече', ('сумка', 'ридикюль', 'су́мочка', 'сумочка', 'су́мка'))]",[]
ball,bn:00008804n,['бейсбол'],['Бейсбо́л (англ.'],[],[],['Бейсбо́л (англ.']
band,bn:00008287n,"['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['Кольцо́ ', 'Предмет, носимый на пальце']","[('___́ ', ('кольцо', 'пе́рстень', 'перстень', 'кольцо́'))]","[('___ ', ('кольцо́', 'пе́рстень', 'перстень')), ('___́ ', ('кольцо', 'пе́рстень', 'перстень'))]","['Предмет, носимый на пальце']"
