fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
['livre'],['Buch'],['книга'],['book'],"['書', '书籍', '書籍', '书', '圖書', '图书']",['libro'],['本'],['책'],['raamat'],['kirja'],"['boek', 'boeken', 'album', 'boekwerk', 'boekje']","['किताब', 'पुस्तक']",book,['libro']
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['雲', '云']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']",cloud,"['nube', 'nuvola', 'nembo']"
"['sac à main', 'porte-monnaie', 'sac', 'sac plastique', 'sac de caisse', 'sac en papier']","['Handtasche', 'Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte']","['сумка', 'сумочка', 'ридикюль', 'су́мочка', 'су́мка', 'паке́т', 'кулёк', 'Бумажный пакет', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к']","['purse', 'bag', 'handbag', 'pocketbook', 'sack', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag']","['皮包', '手袋', '手提包', '钱包', '袋', '張泰開', '包', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋']","['bolso', 'cartera', 'bulto', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra']","['ハンドバッグ', '鞄', '袋', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋']","['손가방', '가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방']","['käekott', 'Kott', 'Paberkott', 'kott', 'kilekott']","['käsilaukku', 'Käsilaukku', 'laukku', 'lompakko', 'kukkaro', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki']","['tas', 'handtas', 'Handtas', 'tasje', 'zak', 'papieren tas', 'buil']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले']",bag,"['portamonete', 'borsello', 'borsetta', 'borsa', 'borsetto', 'sacchetto', 'sacco', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta']"
"['montagne', 'sommet', 'cime', 'pic', 'crête', 'pointe']","['Berg', 'Höhepunkt', 'Gipfel', 'Berggipfel']","['гора', 'пик', 'вершина местности', 'верши́на', 'Вершина местности']","['mountain', 'mount', 'top', 'apex', 'summit', 'peak', 'crown', 'crest', 'tip']","['山', '山脉', '高山', '大山', '顶峰', '尖峰', '頂峰', '高峰', '顶部', '最高点', '顶点', '顶']","['montaña', 'monte', 'ápice', 'pico', 'culmen', 'cima', 'cresta', 'cúspide', 'extremo superior', 'cumbre']","['山岳', '山', '山頂', '頂上']","['산', '산꼭대기']","['mägi', 'mäetipp']","['vuori', 'huippu', 'vuorenhuippu', 'kärki']","['berg', 'top', 'toppunt', 'piek', 'apex', 'kruin', 'bergtop']","['पहाड़', 'पर्वत', 'चोटी', 'शिखर']",mountain,"['montagna', 'monte', 'culmine', 'cima', 'sommità', 'vetta', 'punta', 'apice', 'pizzo', 'colmo', 'giogo', 'cucuzzolo', 'cuspide', 'cocuzzolo', 'picco']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque', 'Philia', 'affection', 'philia']","['Herz', 'Philia', 'Affektion', 'Zuneigung']","['сердце', 'сердце человека', 'филия', 'се́рдце', 'привязанность', 'серде́чко']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber', 'affectionateness', 'philia', 'fondness', 'warmheartedness', 'affection', 'tenderness', 'warmness', 'affectio']","['心脏', '心', '心臟', '胸口', '最高形式的爱', '友愛', '愛意', '心形', '爱情', '慈爱', '好感']","['corazón', 'cámara cardíaca', 'corazón humano', 'philia', 'afecto', 'filia', 'simpatía', 'ternura', 'afección', 'afición', 'amor', 'apego', 'afectividad', 'cariño']","['心臓', '心腔', 'ヒトの心臓', 'ハート', '愛着', 'フィリア', '心形']","['심장', '애착', '햅틱', '필리아']","['süda', 'Afektsioon']","['sydän', 'sydänlihas', 'pumppu', 'kiintymys', 'rakkaus', 'mieltymys', 'sydämellisyys', 'lämpö', 'lämminsydämisyys', 'rakastavuus', 'filia', 'hellyys', 'heikkous']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik', 'affectie', 'Philia', 'genegenheid']","['हृदय', 'प्रेम', 'स्नेह', 'कल्ब', 'दिल', 'क़ल्ब']",heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore', 'philia', 'affezione', 'affetto', 'attaccamento', 'bene', 'amore']"
"['main', 'patte', 'bras', 'arrière-bras', 'membre supérieur libre']","['Hand', 'Arm', 'Oberarm', 'Hinterarm', 'freie obere Extremität']","['рука', 'кисть', 'свободная верхняя конечность', 'плечо', 'плечо́', 'рука за исключением запястья']","['hand', 'manus', 'mitt', 'paw', 'Manus', 'arm', 'upper arm', 'free upper limb']","['手', '前足', '前肢骨', '手臂', '臂', '大臂', '上臂', '肱', '胳膊', '胳臂', '臂膀']","['mano', 'palma', 'zarpa', 'manus', 'pata', 'brazo', 'brazo y mano', 'braco', 'jarrete', 'braceto']","['手', 'マヌス', '腕', '二の腕', '上腕', '上膊', '自由上肢']","['손', '팔']","['labakäsi', 'käsivars', 'käsi', 'Käsivars', 'Õlavars', 'õlavars']","['käsi', 'jalka', 'käpälä', 'manus', 'olkavarsi', 'käsivarsi', 'Olkavarsi']","['klauw', 'hand', 'poot', 'klauwen', 'klavier', 'fik', 'vlerken', 'kluif', 'tengels', 'knijper', 'klavieren', 'fikken', 'arm', 'opperarm', 'bovenarm']","['हाथ', 'बाज़ू', 'बांह', 'बाँह']",hand,"['mano', 'braccio', 'arto superiore libero', 'arto superiore']"
['étoile'],"['Stern', 'Sonne', 'Fixstern']","['звезда', 'звезда́']",['star'],"['星', '恒星', '恆星', '母恒星', '星章', '星标', '星形', '星形物']","['estrella', 'astro']","['恒星', '星', '母恒星']","['별', '항성', '외계 행성 주인별']","['täht', 'Täht']","['tähti', 'kiintotähti']","['zon', 'ster', 'sterretje']",['तारा'],star,"['stella', 'astro', 'sole']"
['ressort'],"['Feder', 'Sprungfeder']","['пружина', 'пружи́на', 'рессо́ра']",['spring'],"['彈簧', '弹簧', '發條', '发条']","['resorte', 'muelle']","['スプリング', 'バネ', '発条', 'ばね']","['출렁쇠', '용수철']","['vedru', 'Vedru']","['jousi', 'vieteri', 'joustin']",['veer'],['कमानी'],spring,['molla']
"['lune', 'Lune']","['Mond', 'Frau Luna', 'Luna', 'Erdmond']","['луна', 'месяц']","['Luna', 'Moon', 'moon']","['月球', '月', '月亮']","['Luna', 'luna']",['月'],['달'],['Kuu'],"['Kuu', 'kuu']","['maan', 'Maan']",['चन्द्रमा'],moon,"['luna', 'Luna']"
"['hameau', 'village']","['Dorf', 'Ortschaft', 'Weiler', 'Dörfchen']","['деревня', 'село', 'слобода́', 'село́', 'кишла́к', 'ау́л', 'стани́ца', 'селе́ние', 'весца́', 'ху́тор', 'дере́вня', 'вёска', 'весь', 'ве́слина']","['village', 'hamlet']","['村', '乡庄', '鄉村', '村莊', '村落', '农村', '乡村', '屯落', '農村', '村庄', '村子', '鄉莊']","['caserío', 'pueblo', 'aldea', 'aldehuela']","['村', '村落', '田舎']","['마을', '촌락']",['küla'],"['kylä', 'pieni kylä']","['dorp', 'gehucht', 'gat', 'buurt', 'buurtschap', 'vlek']","['गाँव', 'गांव']",village,"['paesello', 'borgo', 'paesino', 'frazione', 'villaggio', 'paese', 'borgata', 'casale', 'vico']"
