fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires']","['Winkel', 'Supplementwinkel']","['угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы']","['angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles']","['角', '對頂角', '補角', '余角', '邻角', '鄰角']","['ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios']","['角', '角度']","['맞꼭지각', '각도']","['nurk', 'Nurk']","['suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma']","['hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek']",['कोण'],"['angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
['arc'],['Bogen'],"['а́рка', 'арка', 'свод']",['arch'],"['拱門', '拱', '拱券', '拱门', '拱形结构', '拱形物']",['arco'],['アーチ'],['아치'],"['Kaar', 'kaar']","['holvikaari', 'Kaari', 'kaari', 'holvi']",['boog'],['चाप'],"['arco', 'fornice', 'arcata']",arch
"['arme', 'armes', ""système d'armes""]","['Waffe', 'Arm']","['оружие', 'ору́жие']","['weapon', 'weapon system', 'arm', 'weapons system', 'munition', 'implements of war', 'weaponry', 'arms']","['兵器', '武器', '武装']","['arma', 'armas', 'armamento']","['武器', '兵器']","['무기', '병기', '전쟁무기']","['relv', 'Relv']","['ase', 'astalo', 'aseet', 'aseistus', 'sotatarvike', 'asejärjestelmä', 'sotatarvikkeet']","['wapen', 'gevechtswapen', 'strijdmiddel', 'ammunitie', 'munitie']","['हथियार', 'शस्त्र', 'आयुध']","['arma', 'ordigno', 'armi', 'armamento']",arm
"['forces armées', 'armée', 'machine de guerre', 'troupes']","['Militär', 'Streitkräfte', 'Militärwesen', 'Armee', 'Kriegsmaschinerie']","['вооруженные силы', 'вооружённые си́лы', 'вооружённые силы', 'а́рмия', 'войска́']","['armed forces', 'military', 'force', 'military unit', 'military force', 'war machine', 'armed services', 'military machine']","['軍事', '武装部队', '武裝部隊', '軍隊', '武装力量', '军队']","['fuerza', 'fuerzas armadas', 'ejército', 'FAS', 'las fuerzas armadas']","['軍隊', '軍事', '軍']","['군사', '군대']","['relvajõud', 'sõjavägi']","['asevoimat', 'sotakoneisto', 'sotakone', 'armeija', 'sotaväki', 'puolustusvoimat', 'sotavoimat']","['strijdkrachten', 'weermacht', 'krijgsmacht', 'leger', 'strijdmacht', 'troepen', 'heerschaar', 'troep', 'landleger', 'manschappen', 'troepenmacht', 'landmacht', 'landstrijdkrachten', 'heir', 'armee', 'legerschaar', 'armée']","['अस्कर', 'लशकर', 'लश्कर', 'सेना', 'फौज', 'फ़ौज']","['unità militare', 'forze di polizia', ""forze dell'ordine"", 'forze militari', 'militari', 'forze armate', 'forza armata', 'militare', 'esercito']",army
"['mineur', 'frite', 'gosse', 'enfant', 'pomme frite', 'jeune', 'responsabilité pénale des mineurs', 'nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon']","['Minderjährige', 'Kind', 'Jugendliche', 'minderjährigkeit', 'Minderjährigkeit', 'Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kriechling']","['ребёнок', 'несовершеннолетний', 'ребенок', 'младенец', 'дитя', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['fry', 'french fry', 'minor', 'chip', 'child', 'youngster', 'shaver', 'small fry', 'kid', 'nestling', 'tiddler', 'tike', 'tyke', 'nipper', 'baby', 'infaneto', 'infant', 'babe']","['兒童', '孩儿', '孩', '小孩子', '小孩', '小兒', '孩子', '孩兒', '儿童', '小儿', '未成年人', '婴儿', '嬰兒', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['papa frita', 'niña', 'menor de edad', 'menor', 'niño', 'joven', 'infancia', 'minoría de edad', 'jovenzuelo', 'mozalbete', 'chico', 'muchachuelo', 'chiqüelo', 'chiquillo', 'criatura', 'crío', 'chango', 'pececillo', 'cría', 'chaval', 'alevín', 'nene', 'tike', 'bebé', 'niño de pecho', 'niña de pecho', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe']","['子', '子供', '未成年者', '赤ちゃん', '赤ん坊', '乳児', '幼児']","['아이', '어린이', '미성년자', '아기', '유아']","['alaealine', 'laps', 'alaealisus', 'väikelaps', 'beebi', 'Imik', 'imik']","['alaikäinen', 'lapsi', 'vekara', 'pikkumies', 'vintiö', 'napero', 'lapsukainen', 'kersa', 'pentu', 'tenava', 'ipana', 'muksu', 'pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['patat', 'kind', 'friet', 'jongere', 'jongeling', 'minderjarige', 'ding', 'baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['नाबालिग', 'बच्चा', 'शिशु']","['minore', 'fanciullo', 'giovane', 'fanciullino', 'bambino', 'moccioso', 'mimmo', 'pargolo', 'bimbo', 'figlio', 'ragazzo', 'marmocchio', 'neonato', 'bambino piccolo', 'bambina', 'bebè', 'piccino', 'fantolino', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"['bassin osseux', 'hanche', 'bassin', 'pelvis', 'lavabo', 'évier']","['Becken', 'Hüfte', 'menschliche Hüfte', 'Waschbecken', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['таз', 'бедро', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['pelvic girdle', 'hip', 'pelvis', 'pelvic arch', 'human pelvis', 'sink', 'basin', 'kitchen sink']","['骨盆', '水槽', '盥洗盆', '洗手盆']","['cadera', 'pelvis', 'pelvis humana', 'cintura pélvica', 'lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['骨盤', 'ヒップ', '洗面器', '流し台', 'シンク', 'キッチンシンク', '洗面台', '流し']","['엉덩이', '골반', '개수대', '싱크', '세면기', '싱크대']","['Vaagen', 'vaagen', 'kraanikauss', 'bassein', 'Bassein', 'valamu']","['lantio', 'Lantio', 'lanne', 'lantiorengas', 'amme', 'pesuallas', 'lavuaari', 'Lavuaari', 'viemäriallas']","['pelvis', 'heup', 'bekken', 'bekkengordel', 'bassin', 'wastafel', 'gootsteen', 'afwasbak']","['श्रोणि', 'कूल्हा', 'चिलमची']","['bacino', 'anca', 'pelvi', 'lavello', 'lavabo', 'lavandino', 'acquaio', 'toilette']",basin
"['salle de bain', 'salle de bains', 'Modèle:Autres langues', 'bain', 'toilette']","['Badestube', 'Badezimmer', 'Bad', 'Vorlage:Andere Sprachen']","['ванная', 'ба́ня', 'ванная комната', 'ва́нная']","['bath', 'restroom', 'bathroom']",['浴室'],"['baño', 'cuarto de baño', 'lavabo']","['バスルーム', '浴室', '風呂場', '浴場']","['화장실', '목욕실', '욕실']",['vannituba'],"['kylpyhuone', 'kylpylä']","['wasgelegenheid', 'badkamer', 'badkuip', 'bad']","['बाथरूम', 'स्नानागार', 'गुसलख़ाना', 'ग़ुसलख़ाना', 'स्नानघर']","['bagno', 'stanza da bagno', 'ritirata', 'toilette']",bath
