fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
"['livre', 'publication', 'édition']","['Buch', 'Edition', 'Veröffentlichung', 'Verlagswesen', 'Publikation']","['книга', 'изда́ние', 'издательское дело', 'публика́ция']","['book', 'publishing', 'publication']","['书', '書', '书籍', '書籍', '圖書', '图书', '出版', '出版物', '刊物']","['libro', 'edición de libros', 'publicación', 'edición', 'editorial']","['本', '出版', '刊行物', '出版物']","['책', '출판', '간행물', '출판물']","['raamat', 'Kirjastamine', 'kirjastamine']","['kirja', 'julkaisu', 'Kustannustoimi', 'julkaisutoiminta', 'kustannustoimi', 'kustannustoiminta', 'kustantaminen']","['boek', 'boeken', 'album', 'boekwerk', 'boekje', 'uitgeven', 'uitgeverij', 'uitgeversbedrijf']","['किताब', 'पुस्तक', 'प्रकाशन', 'प्रकटन']",book,"['libro', 'editoria', 'periodico', 'rivista', 'pubblicazione', 'edizione']"
['nuage'],"['Wolke', 'Gewölk']","['облако', 'облака', 'о́блако', 'ту́ча']",['cloud'],"['云', '雲']","['nube', 'nubes']",['雲'],['구름'],"['pilv', 'Pilv']",['pilvi'],['wolk'],"['अभ्र', 'बादल', 'मेघ']",cloud,"['nube', 'nuvola', 'nembo']"
"['sac', 'sac plastique', 'sac de caisse', 'sac en papier']","['Sack', 'Tasche', 'Beutel', 'Tüte', 'Tragetasche', 'Plastiktüte', 'Papiersack', 'Tragetüte']","['сумка', 'паке́т', 'кулёк', 'Бумажный пакет', 'су́мка', 'куль', 'бумажный пакет', 'пластиковый пакет', 'мешо́к']","['sack', 'bag', 'paper bag', 'carrier bag', 'poke', 'plastic shopping bag']","['包', '袋', '張泰開', '袋子', '囊', '购物袋', '纸袋', '塑料袋', '購物袋']","['bolso', 'bolsa', 'bolsa de papel', 'costal', 'saco', 'bolsa plástica de compra']","['袋', '鞄', 'レジ袋', 'ビニール袋', 'キャリアバッグ', 'サック', '紙袋']","['가방', '비닐봉투', '자루', '쇼핑 백', '종이 가방']","['Kott', 'Paberkott', 'kott', 'kilekott']","['laukku', 'pussi', 'kassi', 'muovikassi', 'paperikassi', 'paperipussi', 'säkki']","['tas', 'zak', 'papieren tas', 'buil']","['थैला', 'बोरा', 'बोरी', 'कागज के थैले']",bag,"['sacchetto', 'sacco', 'borsa', 'busta', 'Sacchetto di plastica', 'busta di carta', 'sacco di plastica', 'sacchetto di carta']"
"['montagne', 'colline']","['Berg', 'Hügel']","['гора', 'холм']","['mountain', 'mount', 'hill', 'loma', 'colina']","['山', '山脉', '高山', '大山', '山头', '丘陵', '小山', '山頭', '丘', '山丘', '山冈']","['montaña', 'monte', 'colina', 'loma', 'cerro', 'puig', 'collado', 'otero']","['山岳', '丘陵', '丘']","['산', '언덕']","['mägi', 'küngas']","['vuori', 'kukkula', 'mäki', 'kohouma', 'kumpu']","['berg', 'heuvel']","['पहाड़', 'पर्वत', 'पहाड़ी', 'पसंद']",mountain,"['montagna', 'monte', 'collina', 'montuosità', 'colle', 'poggio']"
"['textile', 'étoffe', 'tissu']","['Gewebe', 'Textilien', 'Stoff', 'Textil', 'Textilie']","['материя', 'ткань', 'текстиль', 'мате́рия', 'материа́л']","['fabric', 'cloth', 'textile', 'material']","['布', '紡織', '布料', '纺织', '织物', '台布', '衣料', '纺织品', '織物']","['textil', 'tela', 'tejido', 'género', 'paño', 'trapo', 'material']",['織物'],"['직물', '옷감']","['tekstiil', 'riie', 'kangas']","['tekstiili', 'kangas', 'kudos', 'materiaali']","['textiel', 'geweven stof', 'weefsel', 'kleed', 'doek', 'stof', 'vod']","['कपड़ा', 'वस्त्र']",cloth,"['prodotto tessile', 'materia tessile', 'tessuto', 'stoffa', 'tela', 'roba', 'pezza', 'panno', 'sbiadato']"
"['cœur', 'myocarde', 'cœur humain', 'cavité cardiaque']",['Herz'],"['сердце', 'сердце человека']","['heart', 'ticker', 'pump', 'Diaphragmatic surface of heart', 'human heart', 'cardiac chamber']","['心', '心脏', '心臟', '胸口']","['corazón', 'cámara cardíaca', 'corazón humano']","['心臓', '心腔', 'ヒトの心臓']",['심장'],['süda'],"['sydän', 'sydänlihas', 'pumppu']","['hart', 'human heart', 'hartkamer', 'lever', 'tikkertje', 'tikker', 'rikketik']",['हृदय'],heart,"['cuore', 'cuore umano', 'Superficie diaframmatica', 'superficie diaframmatica del cuore']"
"['main', 'patte']",['Hand'],"['рука', 'кисть']","['hand', 'manus', 'mitt', 'paw', 'Manus']","['手', '前足', '前肢骨']","['mano', 'palma', 'zarpa', 'manus', 'pata']",['マヌス'],['손'],['labakäsi'],"['käsi', 'jalka', 'käpälä', 'manus']","['klauw', 'hand', 'poot', 'klauwen', 'klavier', 'fik', 'vlerken', 'kluif', 'tengels', 'knijper', 'klavieren', 'fikken']",['हाथ'],hand,['mano']
"['Soleil', 'soleil', 'jour', 'jour solaire']","['Sonne', 'Tag', 'Solartag', 'Sonnentag']","['Солнце', 'Со́лнце', 'со́лнечные су́тки', 'сутки']","['sun', 'Sun', 'twenty-four hour period', 'solar day', 'twenty-four hours', 'mean solar day', 'day']","['日', '日头', '太阳', '日頭', '太陽', '太陽日', '太阳日', '一昼夜', '平均太阳日', '民用日', '天', '日历日', '恒星日']","['Sol', 'sol', 'día', 'día solar']","['ひ', '太陽', '太陽日']","['태양', '해', '일', '날']","['Päike', 'päike', 'ööpäev']","['Aurinko', 'aurinko', 'vuorokausi', 'aurinkovuorokausi', 'päivä']","['zon', 'koperen ploert', 'Zon', 'zonnetje', 'dag', 'zonnedag']","['सूरज', 'दिनकर', 'भानु', 'आदित्य', 'ख़्वुरशेद', 'खुरशीद', 'सूर्य', 'शम्स', 'रवि', 'दिन']",day,"['sole', 'Sole', 'giorno', ""ventiquattr'ore""]"
['étoile'],"['Stern', 'Sonne', 'Fixstern']","['звезда', 'звезда́']",['star'],"['星', '恒星', '恆星', '母恒星']","['estrella', 'astro']","['恒星', '母恒星']","['별', '항성', '외계 행성 주인별']",['täht'],"['tähti', 'kiintotähti']","['zon', 'ster', 'sterretje']",['तारा'],star,"['stella', 'astro', 'sole']"
"['lune', 'Lune', 'mois']","['Mond', 'Frau Luna', 'Luna', 'Erdmond', 'Monat']","['Луна', 'месяц', 'ме́сяц']","['Luna', 'Moon', 'moon', 'months', 'month', 'calendar month']","['月', '月球', '月亮', '月份']","['Luna', 'luna', 'mes', 'mes de calendario']",['月間'],"['달', '월', '월간']","['Kuu', 'kuu']","['Kuu', 'kuu', 'kuukausi', 'kalenterikuukausi']","['maan', 'Maan', 'maand', 'maanden', 'kalendermaand']","['चन्द्रमा', 'महीना', 'माह', 'मास']",moon,"['luna', 'Luna', 'mese', 'mese civile']"
