fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['cap', 'angle', 'angles opposés par le sommet', 'angles supplémentaires', 'angles adjacents', 'angles complémentaires', 'corne', 'coin', 'coin de rue']","['Kap', 'Winkel', 'Supplementwinkel', 'Horn', 'Ecke', 'Straßenecke']","['нос', 'мыс', 'угол', 'Дополнительные углы', 'Смежные углы', 'вертикальные углы', 'смежные углы', 'рог', 'у́гол у́лицы', 'у́гол']","['cape', 'headland', 'ness', 'angle', 'adjacent angle', 'supplementary angles', 'Complementary angles', 'vertically opposite angle theorem', 'vertical angles', 'horn', 'Weapon', 'street corner', 'corner', 'turning point', 'streetcorner']","['角', '海岬', '海角', '陆岬', '對頂角', '補角', '余角', '邻角', '鄰角', '洞角', '犄角', '街角']","['cabo', 'ángulo', 'ángulos suplementarios', 'ángulos consecutivos', 'Ángulos consecutivos', 'ángulos opuestos por el vértice', 'ángulos complementarios', 'Ángulos complementarios', 'cuerno', 'Cuerno', 'esquina', 'chaflán', 'esquina de calle', 'rincón']","['崎', '岬', '鼻', '角度', '洞角', 'コーナー', '街角']","['곶', '갑', '맞꼭지각', '각도', '뿔', '가각', '모퉁이', '코너', '길모퉁이']","['neem', 'nurk', 'Nurk', 'Sarved', 'sarved']","['niemi', 'nokka', 'niemeke', 'suplementtikulmat', 'Suplementtikulmat', 'kulma', 'Komplementtikulmat', 'viereinen kulma', 'vieruskulma', 'Kulma', 'sarvi', 'kadunkulma', 'kääntymiskohta', 'nurkka']","['kaap', 'hoek', 'aanliggende hoek', 'aanliggend', 'invalshoek', 'hoorn', 'Hoorn', 'hoorntje', 'horen', 'straathoek']","['रास', 'कोण', 'सींग', 'नुक्कड़']","['capo', 'promontorio', 'angolo', 'angolo supplementare', 'Teorema degli angoli opposti al vertice', 'angolo complementare', 'Angolo complementare', 'angoli opposti al vertice', 'corno', 'cantonata', 'angolo della strada']",angle
"['fourmi', 'Formicidae']","['Ameise', 'Ameisen']","['муравей', 'муравьи']","['ant', 'emmet', 'pismire', 'Formicidae']","['螘', '蚂蚁', '蚁', '蚂', '蟻', '螞', '螞蟻', '蚁科']","['hormiga', 'Formicidae', 'formicidae']","['蟻', 'アリ']",['개미'],"['sipelgas', 'sipelglased', 'Sipelglased']","['muurahainen', 'muurahaiset', 'kusiainen']","['mier', 'mieren']",['चींटी'],"['formica', 'Formicidae']",ant
"['peau de pomme', 'pomme']","['Apfel', 'Apfelschale']",['яблоко'],"['apple peel', 'apple']","['苹果', '蘋果']","['cáscara de manzana', 'manzana']","['林檎', 'リンゴ']","['사과', '사과나무']",['õun'],['omena'],"['appelschil', 'appel']",['सेब'],"['buccia di mela', 'mela', 'pomo']",apple
['arme'],"['Waffe', 'Arm']","['оружие', 'ору́жие']","['weapon', 'weapon system', 'arm']","['兵器', '武器', '武装']",['arma'],['武器'],"['무기', '병기', '전쟁무기']","['relv', 'Relv']","['ase', 'astalo']","['wapen', 'gevechtswapen', 'strijdmiddel']","['हथियार', 'शस्त्र', 'आयुध']","['arma', 'ordigno']",arm
"['nourrisson', 'nourisson', 'bébé', 'enfant en bas âge', 'poupon', 'enfant']","['Baby', 'Säugling', 'Kleinkind', 'kleines Kind', 'Wickelkind', 'Kind', 'Kriechling']","['ребёнок', 'младенец', 'дитя', 'ребенок', 'малыш', 'крошка', 'малютка', 'младе́нец', 'дитя́']","['baby', 'infaneto', 'infant', 'babe']","['婴儿', '嬰兒', '孩儿', '幼儿', '娃娃', '小娃娃', '婴幼儿', '宝宝']","['niño', 'bebé', 'niño de pecho', 'niña de pecho', 'niña', 'nene', 'infante', 'guagua', 'lactante', 'neonato', 'rorro', 'bebe', 'criatura']","['赤ちゃん', '赤ん坊', '乳児', '幼児']","['아기', '유아']","['väikelaps', 'beebi', 'Imik', 'imik']","['pikkulapsi', 'pienokainen', 'vauva', 'imeväinen', 'vauvaikä']","['baby', 'zuigeling', 'kleintje', 'infant', 'kleine', 'bébé', 'kindje']","['बच्चा', 'शिशु']","['neonato', 'bambino piccolo', 'bambina', 'bambino', 'bebè', 'piccino', 'fantolino', 'bimbo', 'bebé', 'infante', 'piccolo', 'creatura', 'pupo', 'baby', 'lattante', 'poppante']",baby
['baseball'],['Baseball'],['бейсбол'],"['baseball', 'baseball game', 'ball']","['棒球', '棒球比赛']","['béisbol', 'beisbol', 'baseball']",['野球'],['야구'],['pesapall'],"['baseball', 'baseball-peli']",['honkbal'],['बेसबॉल'],"['baseball', 'pallabase', 'partita di baseball', 'palla base']",ball
"['anneau', 'bague']","['Fingerring', 'Fingerreif', 'Ring', 'Reif', 'Reifen']","['кольцо', 'перстень', 'пе́рстень', 'кольцо́']","['ring', 'band']","['指環', '戒指', '指环']","['anillo', 'alianza', 'sortija']",['指輪'],"['가락지', '반지']",['sõrmus'],['sormus'],['ring'],"['अँगूठी', 'छल्ला', 'अंगूठी']",['anello'],band
"[""réservoir d'eau"", 'citerne', 'citerne à eau', 'réservoir d’eau', 'lavabo', 'évier']","['Wassertank', 'Zisterne', 'Wasserspeicher', 'Waschbecken', 'Lavabo', 'Spüle', 'Spülstein', 'Spülbecken']","['бак', 'Цистерна', 'ёмкость для воды', 'резервуа́р', 'цистерна', 'цисте́рна', 'таз', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['cistern', 'water tank', 'sink', 'basin', 'kitchen sink']","['水槽', '水缸', '水箱', '蓄水池', '贮水器', '人工水池', '水塘', '盥洗盆', '洗手盆']","['tanque de agua', 'tanque', 'cisterna', 'aljibe', 'alberca', 'lavabo', 'lavamanos', 'palangana', 'fregadero', 'pila']","['貯水槽', 'タンク', '洗面器', '流し台', 'シンク', 'キッチンシンク', '洗面台', '流し']","['수조', '시스턴', '저수조', '탱크', '개수대', '싱크', '세면기', '싱크대']","['tsistern', 'Tsistern', 'kraanikauss', 'bassein', 'Bassein', 'valamu']","['sadevesisäiliö', 'vesisäiliö', 'vesitankki', 'amme', 'pesuallas', 'lavuaari', 'Lavuaari', 'viemäriallas']","['watertank', 'waterkelder', 'regenbak', 'regenput', 'cisterne', 'waterreservoir', 'regenwaterput', 'bassin', 'wastafel', 'bekken', 'gootsteen', 'afwasbak']","['टंकी', 'वर्षा जल संचयन', 'जलाशय', 'हौज़', 'चिलमची']","['serbatoio', 'cisterna', 'lavello', 'lavabo', 'lavandino', 'bacino', 'acquaio', 'toilette']",basin
"['salle de bain', 'salle de bains', 'Modèle:Autres langues', 'bain', 'toilette']","['Badestube', 'Badezimmer', 'Bad', 'Vorlage:Andere Sprachen']","['ванная', 'ба́ня', 'ванная комната', 'ва́нная']","['bath', 'restroom', 'bathroom']",['浴室'],"['baño', 'cuarto de baño', 'lavabo']","['バスルーム', '風呂場', '浴場']","['화장실', '목욕실', '욕실']",['vannituba'],"['kylpyhuone', 'kylpylä']","['wasgelegenheid', 'badkamer', 'badkuip', 'bad']","['बाथरूम', 'स्नानागार', 'गुसलख़ाना', 'ग़ुसलख़ाना', 'स्नानघर']","['bagno', 'stanza da bagno', 'ritirata', 'toilette']",bath
"['lit', 'couche']",['Bett'],"['кровать', 'постель', 'ко́йка', 'посте́ль', 'крова́ть']",['bed'],"['床', '睡铺', '卧榻', '床鋪', '臥榻', '睡鋪', '床铺']","['cama', 'piltra', 'catre', 'sobre', 'lecho']","['布団', 'ベッド', '臥榻', '寝床', '寝台']","['침대', '잠자리']",['voodi'],"['vuode', 'sänky', 'peti']","['bed', 'legerstede', 'sponde', 'bedstede', 'ledikant', 'nest']","['बिस्तर', 'पलंग', 'बिछोना', 'बिछौना', 'शय्या']","['letto', 'giaciglio']",bed
